DemonicRef,DemonicSystemId,DemonicID,CaseRef,Demonic_Type,Demonic_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DP/JO/101","JO",101,"C/EGD/1036","Paction",,"jhm","07/02/01 12:51:42","jhm","07/02/01 13:28:52"
"DP/JO/102","JO",102,"C/EGD/1035","Paction",,"jhm","07/02/01 13:00:34","jhm","07/02/01 13:28:45"
"DP/JO/103","JO",103,"C/EGD/1037","Paction",,"jhm","07/02/01 13:15:30","jhm","07/02/01 13:28:05"
"DP/JO/104","JO",104,"C/JO/2785","Paction",,"jhm","07/02/01 13:33:52","jhm","07/02/01 13:33:53"
"DP/JO/105","JO",105,"C/JO/2786","Paction",,"jhm","07/02/01 14:56:21","jhm","07/02/01 14:56:22"
"DP/JO/106","JO",106,"C/EGD/1047","Paction",,"jhm","07/02/01 15:09:37","jhm","07/02/01 15:09:38"
"DP/JO/107","JO",107,"C/EGD/1049","Paction",,"jhm","07/02/01 15:28:35","jhm","07/02/01 15:28:36"
"DP/JO/108","JO",108,"C/EGD/1030","Paction",,"jhm","07/02/01 15:58:08","jhm","07/02/01 15:58:09"
"DP/JO/109","JO",109,"C/EGD/1048","Paction",,"jhm","07/02/01 16:05:58","jhm","07/02/01 16:06:00"
"DP/JO/110","JO",110,"C/EGD/1031","Paction",,"jhm","07/02/01 16:18:04","jhm","07/02/01 16:18:05"
"DP/JO/111","JO",111,"C/EGD/1032","Paction",,"jhm","07/02/01 16:27:15","jhm","07/02/01 16:27:16"
"DP/JO/112","JO",112,"C/EGD/1033","Paction",,"jhm","07/03/01 09:26:43","jhm","07/03/01 09:26:44"
"DP/JO/113","JO",113,"C/EGD/1034","Paction",,"jhm","07/03/01 09:38:50","jhm","07/03/01 09:38:52"
"DP/JO/114","JO",114,"C/JO/2786","Anti-baptism",,"jhm","07/03/01 10:50:49","jhm","07/03/01 10:50:54"
"DP/JO/115","JO",115,"C/JO/2785","Anti-baptism",,"jhm","07/03/01 10:59:58","jhm","07/03/01 11:00:00"
"DP/JO/154","JO",154,"C/JO/2798","Bond/Band",,"jhm","07/05/01 10:44:46","jhm","07/05/01 10:44:49"
"DP/JO/155","JO",155,"C/JO/2798","Devil's Mark",,"jhm","07/05/01 10:45:23","jhm","07/05/01 10:45:25"
"DP/JO/156","JO",156,"C/JO/2798","New name",,"jhm","07/05/01 10:45:26","jhm","07/05/01 10:45:28"
"DP/JO/157","JO",157,"C/JO/2799","Bond/Band",,"jhm","07/05/01 11:40:15","jhm","07/05/01 11:40:17"
"DP/JO/158","JO",158,"C/JO/2799","Devil's Mark",,"jhm","07/05/01 11:40:18","jhm","07/05/01 11:40:20"
"DP/JO/159","JO",159,"C/JO/2799","New name",,"jhm","07/05/01 11:40:25","jhm","07/05/01 11:40:27"
"DP/JO/160","JO",160,"C/JO/2810","Devil's Mark",,"jhm","07/09/01 10:49:07","jhm","07/09/01 10:49:09"
"DP/JO/161","JO",161,"C/JO/2830","Anti-baptism",,"jhm","07/10/01 10:04:55","jhm","07/10/01 10:04:55"
"DP/JO/162","JO",162,"C/JO/2830","Servant",,"jhm","07/10/01 10:05:07","jhm","07/10/01 10:05:10"
"DP/JO/163","JO",163,"C/JO/2830","Head and foot",,"jhm","07/10/01 10:05:15","jhm","07/10/01 10:05:18"
"DP/JO/164","JO",164,"C/LA/2786","Servant","later denied","jhm","07/10/01 10:34:08","jhm","07/11/01 10:21:05"
"DP/JO/165","JO",165,"C/LA/2786","Head and foot",,"jhm","07/10/01 10:34:13","jhm","07/10/01 10:34:15"
"DP/JO/166","JO",166,"C/LA/2786","Body and soul",,"jhm","07/10/01 10:34:16","jhm","07/10/01 10:34:30"
"DP/JO/171","JO",171,"C/LA/2786","Devil's Mark",,"jhm","07/10/01 11:02:51","jhm","07/10/01 11:02:54"
"DP/JO/173","JO",173,"C/EGD/402","Devil's Mark",,"jhm","07/10/01 11:05:20","jhm","07/10/01 11:05:20"
"DP/JO/174","JO",174,"C/EGD/402","Head and foot",,"jhm","07/10/01 11:06:51","jhm","07/10/01 11:06:52"
"DP/JO/175","JO",175,"C/EGD/402","Anti-baptism","later denied this","jhm","07/10/01 11:07:05","jhm","07/11/01 10:07:00"
"DP/JO/176","JO",176,"C/LA/2785","Anti-baptism",,"jhm","07/10/01 12:04:51","jhm","07/10/01 12:04:52"
"DP/JO/177","JO",177,"C/LA/2785","Servant",,"jhm","07/10/01 12:04:55","jhm","07/10/01 12:04:56"
"DP/JO/178","JO",178,"C/LA/2785","Devil's Mark",,"jhm","07/10/01 12:05:29","jhm","07/10/01 12:05:31"
"DP/JO/179","JO",179,"C/LA/2785","Head and foot",,"jhm","07/10/01 12:05:34","jhm","07/10/01 12:05:35"
"DP/JO/180","JO",180,"C/EGD/395","Anti-baptism",,"jhm","07/10/01 12:42:56","jhm","07/10/01 12:42:57"
"DP/JO/181","JO",181,"C/EGD/395","Body and soul",,"jhm","07/10/01 12:43:01","jhm","07/10/01 12:43:02"
"DP/JO/182","JO",182,"C/EGD/395","Servant",,"jhm","07/10/01 12:43:04","jhm","07/10/01 12:43:05"
"DP/JO/183","JO",183,"C/EGD/395","Devil's Mark",,"jhm","07/10/01 12:43:09","jhm","07/10/01 12:43:11"
"DP/JO/184","JO",184,"C/EGD/395","Sex","lay with her","jhm","07/10/01 12:43:18","jhm","07/11/01 09:49:53"
"DP/JO/185","JO",185,"C/EGD/397","Anti-baptism",,"jhm","07/10/01 13:00:06","jhm","07/10/01 13:00:06"
"DP/JO/186","JO",186,"C/EGD/397","Servant",,"jhm","07/10/01 13:00:10","jhm","07/10/01 13:00:12"
"DP/JO/187","JO",187,"C/EGD/397","Body and soul",,"jhm","07/10/01 13:00:14","jhm","07/10/01 13:00:14"
"DP/JO/188","JO",188,"C/EGD/397","Head and foot",,"jhm","07/10/01 13:00:16","jhm","07/10/01 13:00:17"
"DP/JO/189","JO",189,"C/EGD/397","Devil's Mark",,"jhm","07/10/01 13:00:24","jhm","07/10/01 13:00:25"
"DP/JO/190","JO",190,"C/EGD/396","Paction",,"jhm","07/10/01 15:32:17","jhm","07/10/01 15:32:18"
"DP/JO/191","JO",191,"C/EGD/396","Servant",,"jhm","07/10/01 15:32:20","jhm","07/10/01 15:32:20"
"DP/JO/192","JO",192,"C/EGD/396","Anti-baptism",,"jhm","07/10/01 15:32:30","jhm","07/10/01 15:32:30"
"DP/JO/193","JO",193,"C/EGD/396","Sex",,"jhm","07/10/01 15:32:46","jhm","07/10/01 15:32:51"
"DP/JO/194","JO",194,"C/EGD/1954","Servant",,"jhm","07/10/01 15:37:07","jhm","07/10/01 15:39:46"
"DP/JO/195","JO",195,"C/EGD/1954","Devil's Mark",,"jhm","07/10/01 15:39:47","jhm","07/10/01 15:39:48"
"DP/JO/196","JO",196,"C/EGD/1954","Sex",,"jhm","07/10/01 15:42:13","jhm","07/10/01 15:42:17"
"DP/JO/199","JO",199,"C/EGD/401","Body and soul",,"jhm","07/10/01 16:09:15","jhm","07/10/01 16:09:16"
"DP/JO/200","JO",200,"C/EGD/395","Head and foot",,"jhm","07/11/01 09:49:54","jhm","07/11/01 09:50:01"
"DP/JO/201","JO",201,"C/JO/2832","Servant",,"jhm","07/11/01 10:58:40","jhm","07/11/01 10:58:42"
"DP/JO/202","JO",202,"C/JO/2832","Anti-baptism",,"jhm","07/11/01 10:58:43","jhm","07/11/01 10:58:44"
"DP/JO/203","JO",203,"C/JO/2832","Head and foot",,"jhm","07/11/01 10:58:49","jhm","07/11/01 10:58:50"
"DP/JO/204","JO",204,"C/JO/2832","Sex",,"jhm","07/11/01 10:58:52","jhm","07/11/01 10:58:53"
"DP/JO/21","JO",21,"C/EGD/2121","tacit pact","servant mentioned by prosecution","jhm","06/05/01 14:51:30","jhm","06/05/01 14:53:28"
"DP/JO/228","JO",228,"C/EGD/400","Devil's Mark","shoulder","jhm","07/16/01 09:18:16","jhm","07/16/01 09:23:36"
"DP/JO/229","JO",229,"C/EGD/408","Anti-baptism",,"jhm","07/16/01 15:52:12","jhm","07/16/01 15:52:14"
"DP/JO/27","JO",27,"C/EGD/1324","Servant",,"jhm","06/13/01 12:37:08","jhm","06/13/01 12:37:29"
"DP/JO/272","JO",272,"C/JO/2834","Anti-baptism",,"jhm","07/25/01 11:23:38","jhm","07/25/01 11:23:38"
"DP/JO/273","JO",273,"C/JO/2834","Sex",,"jhm","07/25/01 11:23:42","jhm","07/25/01 11:23:50"
"DP/JO/274","JO",274,"C/JO/2834","Paction",,"jhm","07/25/01 11:24:19","jhm","07/25/01 11:24:21"
"DP/JO/275","JO",275,"C/EGD/1817","Paction",,"jhm","07/31/01 13:31:19","jhm","07/31/01 13:31:22"
"DP/JO/276","JO",276,"C/EGD/1817","Anti-baptism",,"jhm","07/31/01 13:34:08","jhm","07/31/01 13:34:10"
"DP/JO/277","JO",277,"C/EGD/1817","Body and soul",,"jhm","07/31/01 13:34:32","jhm","07/31/01 13:34:33"
"DP/JO/278","JO",278,"C/EGD/1817","Head and foot",,"jhm","07/31/01 13:34:49","jhm","07/31/01 13:34:50"
"DP/JO/279","JO",279,"C/EGD/1817","Devil's Mark","on neck","jhm","07/31/01 13:35:08","jhm","07/31/01 13:35:18"
"DP/JO/28","JO",28,"C/EGD/1324","Devil's Mark","nip on left shoulder","jhm","06/13/01 12:37:54","jhm","06/13/01 12:38:42"
"DP/JO/281","JO",281,"C/EGD/1862","Anti-baptism",,"jhm","07/31/01 14:44:11","jhm","07/31/01 14:44:12"
