DenuncRef,DenuncSystemId,DenuncID,Trialref,Denunc_exists,Denuncdate,Denuncdate_as_date,Denunc_text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DN/JO/1","JO",1,"T/JO/2",1,"19/4/1643","04/19/43 00:00:00","witness statements heard by presbytery","jhm","05/17/01 12:10:39","jhm","05/17/01 12:11:17"
"DN/JO/16","JO",16,"T/JO/869",1,"22/7/1691","07/22/91 00:00:00","first report to presbytery about her prophecies","jhm","09/25/01 10:13:39","jhm","09/25/01 10:14:14"
"DN/JO/17","JO",17,"T/JO/870",1,"9/1/1706","01/09/06 00:00:00","slander and counter slander between parties","jhm","09/25/01 12:16:47","jhm","09/25/01 12:17:45"
"DN/JO/6","JO",6,"T/JO/94",1,"8/6/1649","06/08/49 00:00:00","denounced by Margaret Dickson","jhm","06/13/01 12:31:51","jhm","06/13/01 12:32:37"
"DN/JO/63","JO",63,"T/JO/1663",1,"23/6/1661","06/23/61 00:00:00","accusations heard by KS","jhm","07/24/02 10:53:59","jhm","07/24/02 10:54:17"
"DN/JO/68","JO",68,"T/JO/89",1,"4/14/1629","04/14/29 00:00:00","by Alexander Hamilton","jhm","10/02/02 12:08:47","jhm","10/02/02 12:09:11"
"DN/JO/69","JO",69,"T/JO/523",1,"27/3/1644","03/27/44 00:00:00","named by Ephraim Melvill.","jhm","10/25/02 17:49:52","jhm","10/25/02 17:50:10"
"DN/JO/7","JO",7,"T/JO/95",1,"8/6/1649","06/08/49 00:00:00","denounced by Agnes Hunter","jhm","06/13/01 13:11:43","jhm","06/13/01 13:12:04"
"DN/JO/8","JO",8,"T/JO/108",1,"8/6/1649","06/08/49 00:00:00","named by Issobell Murray","jhm","06/15/01 09:38:33","jhm","06/15/01 09:38:48"
"DN/LA/1","LA",1,"T/LA/1",1,"22 April 1624","04/22/24 00:00:00","Depositions taken at Dunbar Presbytery","LEM","05/17/01 10:11:20","LEM","05/17/01 10:12:02"
"DN/LA/10","LA",10,"T/LA/207",1,"6/7/1609","07/06/09 00:00:00","Presbytery of Dalkieth","LEM","06/25/01 14:32:14","LEM","06/25/01 14:32:30"
"DN/LA/11","LA",11,"T/LA/306",1,"16/7/1661","07/16/61 00:00:00","4 witches claimed to have seen him at a meeting.","LEM","07/10/01 13:59:26","LEM","07/10/01 13:59:44"
