ElfFairyRef,ElfFairySystemId,ElfFairyID,CaseRef,ElfFairy_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"EFT/JO/1","JO",1,"C/JO/2632","Changeling","jhm","05/17/01 12:06:22","jhm","11/13/02 15:52:43"
"EFT/JO/100","JO",100,"C/EGD/2312","Sunrise","jhm","06/19/02 13:52:05","jhm","06/19/02 13:52:08"
"EFT/JO/101","JO",101,"C/JO/3044","Elfshot","jhm","06/19/02 14:16:21","jhm","06/19/02 14:16:22"
"EFT/JO/103","JO",103,"C/JO/3059","Group of fairies","jhm","06/27/02 14:30:09","jhm","06/27/02 14:30:13"
"EFT/JO/104","JO",104,"C/JO/3059","Changeling","jhm","06/27/02 14:30:15","jhm","06/27/02 14:30:18"
"EFT/JO/105","JO",105,"C/JO/3068","Green","jhm","07/02/02 09:23:20","jhm","07/02/02 09:23:21"
"EFT/JO/106","JO",106,"C/EGD/1045","Group of fairies","jhm","07/03/02 14:20:43","jhm","07/03/02 14:20:47"
"EFT/JO/107","JO",107,"C/EGD/1045","Changeling","jhm","07/03/02 14:20:48","jhm","07/03/02 14:20:49"
"EFT/JO/108","JO",108,"C/EGD/1045","Iron","jhm","07/03/02 14:20:53","jhm","07/03/02 14:20:57"
"EFT/JO/109","JO",109,"C/EGD/2262","Thorn Tree","jhm","07/03/02 14:58:22","jhm","07/03/02 14:58:28"
"EFT/JO/110","JO",110,"C/EGD/297","Midnight","jhm","07/04/02 11:00:09","jhm","07/04/02 11:00:17"
"EFT/JO/111","JO",111,"C/EGD/294","Midnight","jhm","07/04/02 11:53:07","jhm","07/04/02 11:53:10"
"EFT/JO/112","JO",112,"C/EGD/294","Green","jhm","07/04/02 11:53:11","jhm","07/04/02 11:53:16"
"EFT/JO/113","JO",113,"C/EGD/291","Green","jhm","07/04/02 14:03:06","jhm","07/04/02 14:03:08"
"EFT/JO/114","JO",114,"C/EGD/1813","Meeting at 12:00","jhm","07/11/02 12:49:26","jhm","07/11/02 12:49:28"
"EFT/JO/115","JO",115,"C/EGD/1854","Group of fairies","jhm","07/22/02 12:51:02","jhm","07/22/02 12:51:07"
