MaliceRef,MaliceSystemId,MaliceID,CaseRef,Causeofmalice,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MA/JO/1","JO",1,"C/EGD/2120","Failed business interaction","jhm","05/16/01 17:01:25","jhm","05/16/01 17:05:02"
"MA/JO/100","JO",100,"C/EGD/2367","Debt","jhm","07/11/02 10:25:23","jhm","07/11/02 10:25:25"
"MA/JO/101","JO",101,"C/EGD/2367","Jealousy of Neighbours","jhm","07/11/02 10:25:40","jhm","07/11/02 10:25:45"
"MA/JO/102","JO",102,"C/EGD/2374","Failed business interaction","jhm","07/11/02 15:11:04","jhm","07/11/02 15:11:06"
"MA/JO/103","JO",103,"C/EGD/2374","Debt","jhm","07/11/02 15:11:07","jhm","07/11/02 15:11:08"
"MA/JO/104","JO",104,"C/EGD/2374","Revenge","jhm","07/11/02 15:11:12","jhm","07/11/02 15:11:15"
"MA/JO/105","JO",105,"C/JO/3108","Revenge","jhm","07/18/02 09:38:06","jhm","07/18/02 09:38:09"
"MA/JO/106","JO",106,"C/EGD/381","Grudge","jhm","07/24/02 10:40:42","jhm","07/24/02 10:40:44"
"MA/JO/107","JO",107,"C/JO/3161","Slander","jhm","08/01/02 15:56:55","jhm","08/01/02 15:59:48"
"MA/JO/109","JO",109,"C/JO/3246","Revenge","jhm","08/27/02 11:38:39","jhm","08/27/02 11:38:48"
"MA/JO/110","JO",110,"C/EGD/1527","Social slight","jhm","08/28/02 10:35:56","jhm","08/28/02 10:35:57"
"MA/JO/111","JO",111,"C/EGD/1364","Revenge","jhm","10/03/02 16:06:43","jhm","10/03/02 16:06:49"
"MA/JO/112","JO",112,"C/EGD/1778","Revenge","jhm","10/22/02 10:36:41","jhm","10/22/02 10:36:43"
"MA/JO/113","JO",113,"C/EGD/1848","Revenge","jhm","10/22/02 14:17:29","jhm","10/22/02 14:17:29"
"MA/JO/114","JO",114,"C/EGD/1856","Revenge","jhm","10/22/02 14:33:42","jhm","10/22/02 14:33:45"
