MoveRef,MoveSystemId,MoveID,Trialref,Moveto,Moveexists,Movedate,Movedate_as_date,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"HLA/JO/10","JO",10,"T/JO/342","Bishop",1,"17/5/1632","05/17/32 00:00:00","jhm","07/04/01 13:35:08","jhm","07/04/01 13:35:18"
"HLA/JO/100","JO",100,"T/JO/1689","Presbytery",1,"22/2/1603","02/22/03 00:00:00","jhm","08/02/02 11:37:27","jhm","08/02/02 11:38:18"
"HLA/JO/101","JO",101,"T/JO/1690","Presbytery",1,"22/12/1603","12/22/03 00:00:00","jhm","08/02/02 11:50:21","jhm","08/02/02 11:50:34"
"HLA/JO/102","JO",102,"T/JO/1691","Presbytery",1,"2/12/1603","12/02/03 00:00:00","jhm","08/02/02 11:53:29","jhm","08/02/02 11:53:42"
"HLA/JO/103","JO",103,"T/JO/1692","Presbytery",1,"15/12/1603","12/15/03 00:00:00","jhm","08/02/02 11:55:54","jhm","08/02/02 11:57:56"
"HLA/JO/104","JO",104,"T/JO/1693","Presbytery",1,"12/1/1604","01/12/04 00:00:00","jhm","08/02/02 12:02:54","jhm","08/02/02 12:03:02"
"HLA/JO/105","JO",105,"T/JO/1694","Presbytery",1,"21/7/1675","07/21/75 00:00:00","jhm","08/02/02 14:12:56","jhm","08/02/02 14:13:08"
"HLA/JO/106","JO",106,"T/JO/1694","Local magistrate",1,"15/9/1675","09/15/75 00:00:00","jhm","08/02/02 14:13:08","jhm","08/02/02 14:13:46"
"HLA/JO/11","JO",11,"T/JO/343","Bishop",1,"24/1/1633","01/24/33 00:00:00","jhm","07/04/01 13:46:56","jhm","07/04/01 13:47:09"
"HLA/JO/118","JO",118,"T/JO/1951","Presbytery",1,"12/1663","12/01/63 00:00:00","jhm","09/04/02 10:02:23","jhm","09/04/02 10:02:36"
"HLA/JO/119","JO",119,"T/JO/1952","Presbytery",1,"12/1663","12/01/63 00:00:00","jhm","09/04/02 10:08:20","jhm","09/04/02 10:08:27"
"HLA/JO/12","JO",12,"T/JO/369","Synod",1,"6/11/1649","11/06/49 00:00:00","jhm","07/09/01 10:51:40","jhm","07/09/01 10:52:05"
"HLA/JO/13","JO",13,"T/JO/433","Presbytery",1,"10/9/1657","09/10/57 00:00:00","jhm","07/17/01 15:27:30","jhm","07/17/01 15:27:44"
"HLA/JO/14","JO",14,"T/JO/433","Bailie",1,"16/11/1657","11/16/57 00:00:00","jhm","07/17/01 15:55:17","jhm","11/13/02 14:13:24"
"HLA/JO/15","JO",15,"T/JO/510","Presbytery",1,"23/12/1612","12/23/12 00:00:00","jhm","07/23/01 12:16:32","jhm","07/23/01 12:16:45"
"HLA/JO/16","JO",16,"T/JO/511","Local sheriff",1,"10/1/1616","01/10/16 00:00:00","jhm","07/23/01 13:42:36","jhm","07/23/01 13:43:00"
"HLA/JO/17","JO",17,"T/LA/354","Bailie",1,"5/6/1622","06/05/22 00:00:00","jhm","07/23/01 15:43:01","jhm","11/13/02 14:13:38"
"HLA/JO/18","JO",18,"T/LA/353","Bailie",1,"5/6/1622","06/05/22 00:00:00","jhm","07/23/01 15:48:35","jhm","11/13/02 14:13:53"
"HLA/JO/19","JO",19,"T/JO/574","Burgh Council",1,"17/5/1649","05/17/49 00:00:00","jhm","07/31/01 12:08:50","jhm","07/31/01 12:09:17"
"HLA/JO/20","JO",20,"T/JO/593","Presbytery",1,"5/1692","05/01/92 00:00:00","jhm","08/13/01 11:27:34","jhm","08/13/01 11:28:40"
"HLA/JO/21","JO",21,"T/JO/639","Local sheriff",1,"31/12/1661","12/31/61 00:00:00","jhm","08/29/01 11:00:56","jhm","08/29/01 11:01:17"
"HLA/JO/22","JO",22,"T/JO/795","Local magistrate",1,"3/10/1649","10/03/49 00:00:00","jhm","09/06/01 12:40:15","jhm","09/06/01 12:40:40"
"HLA/JO/220","JO",220,"T/JO/1468","Archbishop",1,,,"jhm","09/17/02 11:51:15","jhm","09/17/02 11:51:23"
"HLA/JO/221","JO",221,"T/LA/154","Archbishop",1,,,"jhm","10/02/02 14:41:29","jhm","10/02/02 14:41:32"
"HLA/JO/222","JO",222,"T/LA/1096","Presbytery",1,,,"jhm","10/03/02 16:05:49","jhm","10/03/02 16:05:53"
"HLA/JO/224","JO",224,"T/LA/2001","Presbytery",1,,,"jhm","10/23/02 12:11:32","jhm","10/23/02 12:11:36"
"HLA/JO/225","JO",225,"T/LA/2000","Presbytery",1,,,"jhm","10/23/02 12:14:23","jhm","10/23/02 12:14:26"
"HLA/JO/226","JO",226,"T/LA/1998","Presbytery",1,,,"jhm","10/23/02 12:15:51","jhm","10/23/02 12:15:55"
"HLA/JO/227","JO",227,"T/LA/1999","Presbytery",1,,,"jhm","10/23/02 12:17:38","jhm","10/23/02 12:17:41"
"HLA/JO/228","JO",228,"T/LA/1997","Presbytery",1,,,"jhm","10/23/02 12:19:37","jhm","10/23/02 12:19:41"
"HLA/JO/229","JO",229,"T/JO/366","Presbytery",1,,,"jhm","10/23/02 12:38:54","jhm","10/23/02 12:38:59"
"HLA/JO/23","JO",23,"T/JO/796","Local laird",1,"4/1647","04/01/47 00:00:00","jhm","09/07/01 11:42:48","jhm","09/07/01 12:08:42"
"HLA/JO/230","JO",230,"T/LA/2055","Presbytery",1,,,"jhm","10/23/02 13:58:38","jhm","10/23/02 13:58:43"
"HLA/JO/231","JO",231,"T/JO/538","Presbytery",1,,,"jhm","10/23/02 14:47:16","jhm","10/23/02 14:47:20"
"HLA/JO/232","JO",232,"T/JO/534","Local laird",1,"27/2/1650","02/27/50 00:00:00","jhm","10/24/02 12:50:10","jhm","10/24/02 12:50:32"
"HLA/JO/233","JO",233,"T/JO/1396","Presbytery",1,,,"jhm","10/25/02 16:39:42","jhm","10/25/02 16:39:47"
"HLA/JO/234","JO",234,"T/JO/1421","Presbytery",1,,,"jhm","10/25/02 17:15:12","jhm","10/25/02 17:15:17"
"HLA/JO/236","JO",236,"T/LA/1565","Justice of the Peace",1,,,"jhm","11/04/02 12:47:55","jhm","11/04/02 12:47:59"
"HLA/JO/24","JO",24,"T/JO/797","Local laird",1,"4/1647","04/01/47 00:00:00","jhm","09/07/01 12:51:33","jhm","09/07/01 12:51:42"
"HLA/JO/25","JO",25,"T/JO/870","Bailie",1,"24/4/1706","04/24/06 00:00:00","jhm","09/25/01 12:17:49","jhm","11/13/02 14:14:19"
"HLA/JO/26","JO",26,"T/JO/872","Kirk Session",1,"7/1659","07/01/59 00:00:00","jhm","10/03/01 10:13:26","jhm","10/03/01 10:13:39"
"HLA/JO/27","JO",27,"T/JO/873","Local sheriff",1,"31/5/1692","05/31/92 00:00:00","jhm","10/03/01 10:27:30","jhm","10/03/01 10:27:56"
"HLA/JO/28","JO",28,"T/JO/966","Local sheriff",1,"6/3/1700","03/06/00 00:00:00","jhm","10/10/01 15:08:58","jhm","10/10/01 15:10:42"
"HLA/JO/29","JO",29,"T/JO/967","Presbytery",1,"27/2/1705","02/27/05 00:00:00","jhm","10/10/01 15:26:00","jhm","10/10/01 15:26:29"
"HLA/JO/31","JO",31,"T/JO/1077","Local sheriff",1,"29/1/1706","01/29/06 00:00:00","jhm","10/23/01 10:47:32","jhm","10/23/01 10:47:51"
"HLA/JO/32","JO",32,"T/JO/1135","Local sheriff",1,"30/11/1698","11/30/98 00:00:00","jhm","12/04/01 15:46:02","jhm","12/04/01 15:46:25"
"HLA/JO/33","JO",33,"T/JO/1137","Burgh Council",1,"29/1/1650","01/29/50 00:00:00","jhm","12/05/01 13:31:35","jhm","12/05/01 13:32:05"
"HLA/JO/34","JO",34,"T/JO/1138","Burgh Council",1,"27/11/1649","11/27/49 00:00:00","jhm","12/05/01 13:42:26","jhm","12/05/01 13:44:28"
"HLA/JO/35","JO",35,"T/JO/1139","Local magistrate",1,"2/7/1650","07/02/50 00:00:00","jhm","12/05/01 13:49:06","jhm","12/05/01 13:50:10"
"HLA/JO/36","JO",36,"T/JO/1140","Local magistrate",1,"15/4/1650","04/15/50 00:00:00","jhm","12/05/01 13:54:17","jhm","12/05/01 13:54:43"
"HLA/JO/37","JO",37,"T/JO/1144","Local magistrate",1,"2/7/1650","07/02/50 00:00:00","jhm","12/06/01 10:41:53","jhm","12/06/01 10:42:24"
"HLA/JO/38","JO",38,"T/JO/1168","Local sheriff",1,"18/2/1696","02/18/96 00:00:00","jhm","12/06/01 14:39:02","jhm","12/06/01 14:39:25"
"HLA/JO/39","JO",39,"T/JO/1182","Bishop",1,"25/5/1637","05/25/37 00:00:00","jhm","01/17/02 13:03:00","jhm","01/17/02 13:03:16"
"HLA/JO/4","JO",4,"T/JO/106","Bound court",1,"25/7/1649","07/25/49 00:00:00","jhm","06/14/01 16:10:10","jhm","06/14/01 16:10:49"
"HLA/JO/40","JO",40,"T/JO/1257","Synod",1,"12/3/1650","03/12/50 00:00:00","jhm","03/04/02 12:18:44","jhm","03/04/02 12:18:58"
"HLA/JO/41","JO",41,"T/LA/1234","Local sheriff",1,"12/11/1695","11/12/95 00:00:00","jhm","03/07/02 15:33:38","jhm","03/07/02 15:35:06"
"HLA/JO/42","JO",42,"T/JO/1271","Local sheriff",1,"2/3/1719","03/02/19 00:00:00","jhm","04/17/02 09:27:56","jhm","04/17/02 09:28:24"
"HLA/JO/43","JO",43,"T/JO/1272","Local sheriff",1,"2/3/1719","03/02/19 00:00:00","jhm","04/17/02 09:34:01","jhm","04/17/02 09:34:58"
"HLA/JO/44","JO",44,"T/JO/1273","Local sheriff",1,"2/3/1719","03/02/19 00:00:00","jhm","04/17/02 09:37:47","jhm","04/17/02 09:38:40"
"HLA/JO/45","JO",45,"T/JO/1274","Local sheriff",1,"2/3/1719","03/02/19 00:00:00","jhm","04/17/02 09:41:35","jhm","04/17/02 09:42:19"
"HLA/JO/46","JO",46,"T/JO/1275","Local sheriff",1,"2/3/1719","03/02/19 00:00:00","jhm","04/17/02 09:44:54","jhm","04/17/02 09:45:05"
"HLA/JO/47","JO",47,"T/JO/1276","Local sheriff",1,"2/3/1719","03/02/19 00:00:00","jhm","04/17/02 09:48:32","jhm","04/17/02 09:48:43"
"HLA/JO/48","JO",48,"T/JO/1281","Local magistrate",1,"30/9/1724","09/30/24 00:00:00","jhm","04/17/02 13:34:18","jhm","04/17/02 13:34:45"
"HLA/JO/49","JO",49,"T/JO/1279","Local magistrate",1,"6/1708","06/01/08 00:00:00","jhm","04/17/02 13:39:22","jhm","04/17/02 13:40:17"
"HLA/JO/5","JO",5,"T/JO/150","Synod",1,"24/4/1650","04/24/50 00:00:00","jhm","06/18/01 13:33:24","jhm","06/18/01 13:34:06"
"HLA/JO/50","JO",50,"T/JO/1277","Local magistrate",1,"6/1708","06/01/08 00:00:00","jhm","04/17/02 13:40:20","jhm","04/17/02 13:40:51"
"HLA/JO/51","JO",51,"T/JO/1278","Local magistrate",1,"6/1708","06/01/08 00:00:00","jhm","04/17/02 13:40:54","jhm","04/17/02 13:41:11"
"HLA/JO/52","JO",52,"T/JO/1280","Local magistrate",1,"6/1708","06/01/08 00:00:00","jhm","04/17/02 13:41:14","jhm","04/17/02 13:45:52"
"HLA/JO/53","JO",53,"T/JO/1289","Presbytery",1,"27/4/1699","04/27/99 00:00:00","jhm","05/01/02 16:20:58","jhm","05/01/02 16:21:20"
"HLA/JO/54","JO",54,"T/JO/1290","Synod",1,"11/10/1697","10/11/97 00:00:00","jhm","05/01/02 16:40:27","jhm","05/01/02 16:40:43"
"HLA/JO/57","JO",57,"T/JO/1435","Local magistrate",1,"10/6/1590","06/10/90 00:00:00","jhm","06/27/02 14:40:29","jhm","06/27/02 14:40:45"
"HLA/JO/58","JO",58,"T/JO/1436","Burgh Council",1,"18/8/1590","08/18/90 00:00:00","jhm","06/27/02 15:29:43","jhm","06/27/02 15:29:58"
"HLA/JO/59","JO",59,"T/JO/1444","Local sheriff",1,"25/3/1597","03/25/97 00:00:00","jhm","06/28/02 14:42:59","jhm","06/28/02 14:43:17"
"HLA/JO/6","JO",6,"T/JO/146","Synod",1,"1/5/1650","05/01/50 00:00:00","jhm","06/18/01 13:34:52","jhm","06/18/01 13:35:02"
"HLA/JO/60","JO",60,"T/JO/1460","Presbytery",1,"5/1630","05/01/30 00:00:00","jhm","07/02/02 14:00:24","jhm","07/02/02 14:52:13"
"HLA/JO/62","JO",62,"T/JO/1466","Bishop",1,"16/8/1615","08/16/15 00:00:00","jhm","07/03/02 13:44:51","jhm","07/03/02 13:45:11"
"HLA/JO/63","JO",63,"T/JO/1467","Bishop",1,"16/8/1615","08/16/15 00:00:00","jhm","07/03/02 13:49:33","jhm","07/03/02 13:49:42"
"HLA/JO/64","JO",64,"T/JO/1471","Local magistrate",1,"5/1658","05/01/58 00:00:00","jhm","07/04/02 11:20:40","jhm","07/04/02 11:21:06"
"HLA/JO/65","JO",65,"T/JO/1514","Local laird",1,"5/1649","05/01/49 00:00:00","jhm","07/11/02 10:30:24","jhm","07/11/02 10:30:43"
"HLA/JO/66","JO",66,"T/JO/1515","Local laird",1,"6/1649","06/01/49 00:00:00","jhm","07/11/02 11:07:21","jhm","07/11/02 11:07:30"
"HLA/JO/67","JO",67,"T/JO/1534","Local laird",1,"9/1649","09/01/49 00:00:00","jhm","07/11/02 15:06:16","jhm","07/11/02 15:06:23"
"HLA/JO/68","JO",68,"T/JO/1534","Presbytery",1,"9/1649","09/01/49 00:00:00","jhm","07/11/02 15:06:23","jhm","07/11/02 15:06:34"
"HLA/JO/69","JO",69,"T/JO/1535","Local magistrate",1,"5/1649","05/01/49 00:00:00","jhm","07/11/02 16:02:49","jhm","07/11/02 16:11:43"
"HLA/JO/7","JO",7,"T/JO/149","Synod",1,"1/5/1650","05/01/50 00:00:00","jhm","06/18/01 13:36:58","jhm","06/18/01 13:37:09"
"HLA/JO/70","JO",70,"T/JO/1538","Synod",1,"30/3/1670","03/30/70 00:00:00","jhm","07/16/02 10:05:32","jhm","07/16/02 10:05:48"
"HLA/JO/71","JO",71,"T/JO/1538","Local magistrate",1,"24/4/1670","04/24/70 00:00:00","jhm","07/16/02 10:05:48","jhm","07/16/02 10:06:02"
"HLA/JO/72","JO",72,"T/JO/1539","Local magistrate",1,"4/1597","04/01/97 00:00:00","jhm","07/18/02 09:14:26","jhm","07/18/02 09:14:54"
"HLA/JO/73","JO",73,"T/JO/1540","Local magistrate",1,"4/1597","04/01/97 00:00:00","jhm","07/18/02 09:40:12","jhm","07/18/02 09:40:26"
"HLA/JO/74","JO",74,"T/JO/1512","Local magistrate",1,"4/1597","04/01/97 00:00:00","jhm","07/18/02 10:04:21","jhm","07/18/02 10:04:30"
"HLA/JO/76","JO",76,"T/JO/1635","Presbytery",1,"23/7/1649","07/23/49 00:00:00","jhm","07/22/02 12:19:08","jhm","07/22/02 12:19:17"
"HLA/JO/77","JO",77,"T/JO/1636","Presbytery",1,"23/7/1649","07/23/49 00:00:00","jhm","07/22/02 12:24:38","jhm","07/22/02 12:24:55"
"HLA/JO/78","JO",78,"T/JO/1637","Presbytery",1,"26/6/1649","06/26/49 00:00:00","jhm","07/22/02 12:29:46","jhm","07/22/02 12:30:00"
"HLA/JO/79","JO",79,"T/JO/1638","Presbytery",1,"5/12/1649","12/05/49 00:00:00","jhm","07/22/02 12:36:10","jhm","07/22/02 12:37:05"
"HLA/JO/8","JO",8,"T/JO/147","Synod",1,"1/5/1650","05/01/50 00:00:00","jhm","06/18/01 13:38:14","jhm","06/18/01 13:40:10"
"HLA/JO/80","JO",80,"T/JO/1642","Presbytery",1,"18/11/1649","11/18/49 00:00:00","jhm","07/22/02 14:33:12","jhm","07/22/02 14:33:24"
"HLA/JO/81","JO",81,"T/JO/1643","Presbytery",1,"18/11/1649","11/18/49 00:00:00","jhm","07/22/02 14:36:39","jhm","07/22/02 14:36:51"
"HLA/JO/82","JO",82,"T/JO/1644","Presbytery",1,"18/11/1649","11/18/49 00:00:00","jhm","07/22/02 14:41:06","jhm","07/22/02 14:41:14"
"HLA/JO/83","JO",83,"T/JO/1645","Presbytery",1,"18/11/1649","11/18/49 00:00:00","jhm","07/22/02 14:46:04","jhm","07/22/02 14:46:11"
"HLA/JO/84","JO",84,"T/JO/1646","Presbytery",1,"18/11/1649","11/18/49 00:00:00","jhm","07/22/02 14:49:19","jhm","07/22/02 14:49:29"
"HLA/JO/85","JO",85,"T/JO/1647","Presbytery",1,"18/11/1649","11/18/49 00:00:00","jhm","07/22/02 14:51:55","jhm","07/22/02 14:52:03"
