PersonRef,PersonID,PersonSystemId,FirstName,LastName,Other Details,Title,Occupation,Office,Residence,IsDeleted,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"JO/1",1,"JO","Thomas","Leslie",,"Mr",,"Sheriff depute","Aberdeen",0,"Involved in 1597-8 cases in Aberdeen.","jhm","05/16/01 14:58:41","jhm","01/22/04 11:10:04"
"JO/100",100,"JO","John","Makghie",,"Mr","minister",,"Dirleton",0,"Involved in cases in 1649. Minister at Direlton 1639 intil 1683. He did not conform to episcopacy but seems to have been tolerated until 1683.","jhm","06/13/01 10:19:52","jhm","01/22/04 13:28:55"
"JO/1000",1000,"JO","Alexander","Innes",,"of Dunscaith",,,"Dunscaith, Skye",0,"Commissioner in 1662.","jhm","10/18/01 15:35:31","jhm","12/01/03 10:49:51"
"JO/1001",1001,"JO","Alexander","Urquhart",,"of Kinnondie",,,"Kinnondie",0,"Commissioner in 1662.","jhm","10/18/01 15:36:08","jhm","12/18/03 11:50:24"
"JO/1002",1002,"JO","John","Bain",,"of Delny",,,"Delny",0,"Commissioner in 1662.","jhm","10/18/01 15:37:00","jhm","11/12/03 15:47:12"
"JO/1003",1003,"JO","Colin","MacKenzie",,"of Kincraig",,,"Kincraig",0,"Commissioner in 1662.","jhm","10/18/01 15:37:47","jhm","12/02/03 10:59:45"
"JO/1004",1004,"JO","Andrew","Ker",,"Sir of Cavers",,,,0,"Son of Sir Thomas Ker of Cavers LA/597. Commissioner in 1662.","jhm","10/18/01 15:51:10","jhm","01/22/04 10:40:29"
"JO/1005",1005,"JO","Andrew","Ker",,"of Littledean",,,"Littledean",0,"Commissioner in 1662. Was this the Ker of Littledean who was chased by hares that he believed were witches?","jhm","10/18/01 15:52:10","jhm","01/22/04 10:40:08"
"JO/1006",1006,"JO","John","Haliburton",,"of Muirhouse",,,"Muirhouse",0,"Commissioner in 1662","jhm","10/18/01 15:53:33","jhm","11/27/03 12:13:38"
"JO/1007",1007,"JO","Robert","Pringle",,"of Clifton",,,"Clifton",0,"Commissioner in 1662.","jhm","10/18/01 15:54:14","jhm","12/05/03 16:35:16"
"JO/1008",1008,"JO","Gavin","Elliot",,"of Grange",,,"Grange",0,"Commissioner in 1662.","jhm","10/18/01 15:54:46","jhm","11/20/03 16:37:22"
"JO/1009",1009,"JO","Patrick","Don",,,,"bailie","Kelso",0,"Commissioner in 1662.","jhm","10/18/01 15:55:41","jhm","11/20/03 15:04:41"
"JO/101",101,"JO","John","Kincaid",,,"witchpricker",,,0,"Involved in cases in 1649 and 1659-61. Not the same as LA/1125.","jhm","06/13/01 10:56:38","jhm","12/01/03 14:46:55"
"JO/1010",1010,"JO","David","Hunter",,"of Restennett",,,"Restennett",0,"Involved in 1662-4.","jhm","10/18/01 16:05:05","jhm","12/01/03 10:05:35"
"JO/1011",1011,"JO","John","Dick",,,"witch-pricker",,,0,"Involved in case in 1661.","jhm","10/18/01 16:16:05","jhm","11/20/03 14:54:18"
"JO/1012",1012,"JO","James","Dunlop",,"of Househill",,,"Househill",0,"Commissioner in 1663","jhm","10/19/01 09:40:30","jhm","11/20/03 16:15:36"
"JO/1013",1013,"JO","Robert","Alexander",,"of Blackhouse",,,"Renfrew",0,"Commissioner in 1662 and involved in cases in 1663 and 1677. Probably related to John Alexander LA/1122.","jhm","10/19/01 09:41:08","jhm","12/19/03 14:17:40"
"JO/1014",1014,"JO","Robert","Sempill",,"of Renfrew",,,"Renfrew",0,"Commissioner in 1663. See also Robert Sempill LA/1123, may be related.","jhm","10/19/01 09:42:00","jhm","01/22/04 13:52:14"
"JO/1015",1015,"JO","George","Patrick",,,,,"Bolton",0,"Involved in investigations in 1661.","jhm","10/19/01 10:25:46","jhm","12/05/03 14:42:32"
"JO/1016",1016,"JO","John","Begbie",,,,,"Bolton",0,"Involved in investigations in 1661.","jhm","10/19/01 10:26:26","jhm","11/12/03 15:52:18"
"JO/1017",1017,"JO","Andrew","Yule",,,,,"Brandwoodside",0,"Involved in investigations in 1661.","jhm","10/19/01 10:27:24","jhm","12/19/03 11:32:14"
"JO/102",102,"JO","Alexander","Livingston",,"of Saltcoats",,,"Saltcoats",0,"Involved in cases in 1649.","jhm","06/13/01 10:58:15","jhm","12/01/03 15:57:20"
"JO/1020",1020,"JO","George","Begbie",,,,,"Bolton",0,"Involved in investigations in 1661.","jhm","10/19/01 10:51:27","jhm","11/12/03 15:52:04"
"JO/1021",1021,"JO","Patrick","Begbie",,,,,"Bolton",0,"Involved in investigations in 1661.","jhm","10/19/01 10:52:09","jhm","11/12/03 15:52:38"
"JO/1022",1022,"JO","James","Gottray",,,,,"Over Bolton",0,"Investigated people in 1661.","jhm","10/19/01 12:00:24","jhm","11/27/03 09:35:44"
"JO/1023",1023,"JO","John","Cantlie",,,,"servitor to Earl of Lauderdale",,0,"Involved in investigations in 1661.","jhm","10/19/01 12:01:07","jhm","11/20/03 10:42:17"
"JO/1024",1024,"JO","Thomas","MacCoul",,,,,"Bolton",0,"Involved in investigations in 1661.","jhm","10/19/01 12:01:54","jhm","01/22/04 11:35:43"
"JO/1025",1025,"JO","Richard","Mathie",,,,,"Bolton",0,"Involved in investigations in 1661.","jhm","10/19/01 12:18:10","jhm","12/02/03 10:16:23"
"JO/1026",1026,"JO","Joseph","Provan",,,"minister",,"Morham",0,"Minister at Garvald and Bara, then Morham between 1653 and 1662. Involved in cases in 1661.","jhm","10/19/01 12:57:44","jhm","12/12/03 09:35:58"
"JO/1027",1027,"JO","Robert","Rowan",,"Mr","minister",,"Penninghame",0,"Minister at Penninghame between 1696-1714. Involved in investigations in 1706.","jhm","10/23/01 10:42:12","jhm","12/12/03 12:21:16"
"JO/1028",1028,"JO","Thomas","Kerr",,"Mr","minister",,"Wigtown",0,"Minister at Wigtown between 1701-1729. Involved in investigations in 1706.","jhm","10/23/01 10:43:09","jhm","12/01/03 14:45:15"
"JO/1029",1029,"JO","Samuel","Spalding",,"Mr","minister",,"Parton",0,"Minister at Parton until 1712. Involved in investigations in 1704.","jhm","10/23/01 15:29:56","jhm","12/15/03 12:13:20"
"JO/103",103,"JO","James","Borthwick",,,,"chamberlain","Dirleton",0,"Involved in cases in 1649.","jhm","06/13/01 10:59:32","jhm","12/19/03 14:42:16"
"JO/104",104,"JO","John","Stalker",,,,"bailie","Dirleton",0,"Involved in case in 1649.","jhm","06/13/01 11:49:13","jhm","12/15/03 12:23:01"
"JO/105",105,"JO","James","Foreman",,,,,"Drem",0,"Involved in case in 1649.","jhm","06/13/01 11:49:47","jhm","11/25/03 10:26:12"
"JO/1059",1059,"JO","James","Hamilton",,"Mr","minister","first charge of Lesmahagow","Lesmahagow",0,"Minister between 1602 and 1631. Was a very strict disciplinarian. Involved in case in 1623.","jhm","11/23/01 11:25:06","jhm","11/27/03 12:30:21"
"JO/106",106,"JO","James","Acheson",,"Mr",,,"North Berwick",0,"Involved in case in 1649.","jhm","06/13/01 11:50:39","jhm","11/12/03 13:47:24"
"JO/1060",1060,"JO","John","Currie",,"Mr",,"minister","Coulter",0,"Minister at Coulter, 1636-56. Involved in case in 1642.","jhm","11/23/01 14:08:17","jhm","11/20/03 14:30:35"
"JO/1061",1061,"JO","David","Murray","knight","Sir of Stanhope",,"ruling elder","Drummelzier",0,"Ruling elder in Culter parish (?) 1640. Involved in cases in 1642, 1644 and 1649-50.","jhm","11/23/01 14:10:39","jhm","12/05/03 10:36:49"
"JO/1062",1062,"JO","George","Bennet",,"Mr","minister",,"Quothquan and St Ninians",0,"Minister at Quothquan, 1635-1649 and also St Ninian's, 1650-74. Was member of commission of Assemblies, 1645-9. Involved in cases in 1642 and 1658.","jhm","11/23/01 14:37:57","jhm","12/19/03 14:38:03"
"JO/1063",1063,"JO","James","Douglas",,"mr","minister",,"Carnwath",0,"Minister at Carnwath, 1640-46. Involved in 1644.","jhm","11/23/01 14:39:16","jhm","11/20/03 15:19:53"
"JO/1064",1064,"JO","William","Carmichael",,"Sir",,,,0,"Was to be contacted re getting a commission in 1641.","jhm","11/23/01 15:01:53","jhm","11/20/03 10:47:24"
"JO/1065",1065,"JO","Archibald","Angus",,"Earl of Angus",,,,0,"Contacted in order to apply for commission in 1641. Related to LA/118.","jhm","11/23/01 15:08:20","jhm","12/19/03 14:20:48"
"JO/1066",1066,"JO",,"Hamilton",,"Laird of Hamilton",,,,0,"Contacted about getting a commission in 1641. Unable to find more details.","jhm","11/23/01 15:09:18","jhm","01/09/04 12:09:13"
"JO/1067",1067,"JO","Alexander","Somerville",,"Mr",,"minister","Dolphinton",0,"Minister at Dolphinton, 1618-1648, on Commission of Assemblies, 1638, 39, 41, 45, 47. Involved in case in 1641.","jhm","11/23/01 15:25:45","jhm","01/22/04 14:02:50"
"JO/1068",1068,"JO","John","Home",,"Mr",,"minister","Lesmahagow",0,"Minister at Lesmahagow, 1641-1665. Commissioner of Assembly 1648. Involved in cases in 1647-50. Not the same as LA/131.","jhm","11/27/01 10:20:49","jhm","11/27/03 16:28:00"
"JO/1069",1069,"JO","William","Lockhart",,,"servant","servant of Marquis of Douglas",,0,"Involved in cases in 1649-50.","jhm","11/27/01 12:09:57","jhm","12/01/03 16:14:51"
"JO/107",107,"JO","William","Dalyell",,,"notary",,"Dirleton",0,"Alternative spellings Dalyell or Dalziel. Involved in cases in 1649.","jhm","06/13/01 11:51:18","jhm","11/20/03 14:37:42"
"JO/1070",1070,"JO","Alexander","Lindsay",,,"servant","servant to Marquis of Douglas",,0,"Involved in cases in 1649-50.","jhm","11/27/01 12:11:23","jhm","12/01/03 16:36:15"
"JO/1071",1071,"JO","Patrick","Craig",,,,"bailie","Lanark",0,"Involved in cases in 1649/50.","jhm","11/27/01 12:12:43","jhm","11/20/03 13:38:15"
"JO/1072",1072,"JO","Gideon","Fathie",,,,"bailie","Lanark",0,"Involved in cases in 1649/50.","jhm","11/27/01 12:13:42","jhm","01/07/04 12:04:23"
"JO/1073",1073,"JO","James","Cuningham",,"of Cobleshaugh",,,"Cobleshaugh",0,"Involved in cases in 1649/50.","jhm","11/27/01 12:14:56","jhm","11/20/03 14:20:52"
"JO/1074",1074,"JO","James","Veitch",,"Mr",,,"Lanarkshire",0,"Involved in cases in 1649/50.","jhm","11/27/01 12:16:11","jhm","12/18/03 12:07:08"
"JO/1075",1075,"JO","William","Morton",,"Mr",,"minister","Wiston",0,"Mnister at Wiston 1642-1668. Involved in cases in 1650.","jhm","11/27/01 12:17:32","jhm","12/02/03 12:54:50"
"JO/1076",1076,"JO","John","Wilson",,"Mr","minister",,"Crawford",0,"Involved in cases in 1649/50. Minister at Crawford 1623, suspended 1646 and died in 1649.","jhm","11/27/01 12:19:53","jhm","12/19/03 12:14:01"
"JO/1077",1077,"JO","John","Veitch",,"Mr","minister",,"Roberton",0,"Involved in cases in 1649/50. Father of John Veitch LA/1598. Was minister at Roberton from 1624, joined the Resolutioners and was deprived by Protesters in 1654. Was later appointed schoolmaster in 1660.","jhm","11/27/01 12:20:48","jhm","01/22/04 15:14:24"
"JO/1078",1078,"JO","Robert","Sempill",,"Mr","minister","2nd charge","Lesmahagow",0,"Involved in cases in 1649/50. Minister at Lesmahagow 2nd charge 1648-1659, transferred to Slammanan.","jhm","11/27/01 12:21:36","jhm","01/22/04 15:16:15"
"JO/1079",1079,"JO","Alexander","Tenant",,,,,,0,"Ordered to investigate cases by committee of estates, 1649-50.","jhm","11/27/01 12:22:33","jhm","12/17/03 10:49:08"
"JO/108",108,"JO","Robert","Ker",,"Mr","minister",,"Haddington",0,"Involved in cases in 1649, 1661-2 and 1678. Minister at Haddington 1647-1677. Member of commission for Assembly in 1647 and 1648.","jhm","06/13/01 12:20:11","jhm","12/01/03 15:11:05"
"JO/1080",1080,"JO","William","Somerville",,"Mr","minister",,"Pettinain",0,"Minister at Pettinain 1642-1661, member of Commission of Assembly 1649. Involved in cases in 1649-50.","jhm","11/27/01 12:43:56","jhm","12/15/03 12:09:33"
"JO/1081",1081,"JO","Richard","Inglis",,"Mr","minister",,"Douglas",0,"Minister at Douglas, 1641-1657, commission of Assembly 1644 and 1649. Involved in cases in 1650.","jhm","11/27/01 12:44:39","jhm","12/01/03 10:40:01"
"JO/1082",1082,"JO","William","Douglas",,"Marquis of Douglas",,,,0,"In trouble for his papacy in the 1650s. Involved in cases in 1650 and 1661. Requested to investigated case from North Berwick in 1661.","jhm","11/27/01 13:05:24","jhm","01/07/04 11:47:47"
"JO/1083",1083,"JO","James","Taylor",,"Mr","minister",,"Greenock",0,"Minister at Greenock in 1649. Involved in cases in 1650 and 1697.","jhm","12/04/01 09:33:14","jhm","12/17/03 10:47:11"
"JO/1084",1084,"JO","William","Muir","Laird of Glanderstoun","of Glanderston",,,"Glanderston",0,"commissioner in 1650 and involved in investigations in 1649. Names may also be spelt Mure. Related LA/1120.","jhm","12/04/01 09:38:46","jhm","01/22/04 11:48:51"
"JO/1085",1085,"JO","John","Hamilton",,"Mr","minister",,"Inverkip",0,"Minister at Inverkip in 1626-1664. He tortured Janet Love extensively! Involved in cases in 1642 and 1650.","jhm","12/04/01 09:41:29","jhm","11/27/03 12:33:49"
"JO/1086",1086,"JO","Alexander","Dunlop",,"Mr","minister",,"Greenock",0,"Minister at Greenock, 1644-1661. Involved in cases in 1650.","jhm","12/04/01 09:51:50","jhm","11/20/03 16:14:03"
"JO/1087",1087,"JO","John","Stirling",,"Mr","minister",,"Greenock",0,"Minister at Greenock, 1695. Involved in cases in 1696-7 and 1700.","jhm","12/04/01 11:55:18","jhm","12/15/03 15:11:45"
"JO/1088",1088,"JO","Andrew","Turner",,"Mr","minister",,"Erskine",0,"Minister at Erskine, 1695. Involved in cases in 1697.","jhm","12/04/01 11:55:57","jhm","12/18/03 11:11:59"
"JO/1089",1089,"JO","James","Brisbane",,"Mr","minister",,"Kilmacolm",0,"Minister in 1695. Involved in cases in 1697, 1699 and 1700.","jhm","12/04/01 11:56:36","jhm","12/19/03 14:44:20"
"JO/109",109,"JO","Thomas","Foulis",,,,,"Haddington",0,"Involved in cases in 1649.","jhm","06/13/01 12:21:11","jhm","11/25/03 11:52:47"
"JO/1090",1090,"JO","Patrick","Simpson",,"Mr","minister",,"Renfrew",0,"Minister until 1715. Involved in cases in 1697 and 1700.","jhm","12/04/01 14:09:48","jhm","12/15/03 10:15:12"
"JO/1091",1091,"JO","Thomas","Blackwell",,"Mr","minister",,"Paisley",0,"Minister at Paisley in 1696. Involved in cases in 1696-7 and 1700.","jhm","12/04/01 14:11:06","jhm","11/18/03 09:55:34"
"JO/1092",1092,"JO","James","Hutchison",,"Mr","minister",,"Kilellan",0,"Minister in 1696. Involved in cases in 1697 and 1700.","jhm","12/04/01 14:12:50","jhm","12/01/03 10:13:06"
"JO/1093",1093,"JO","Matthew","Brisbane",,"Dr","physician",,"Glasgow",0,"Was he related to any of the other Brisbanes from Bishopton? Involved in cases and trials in 1697.","jhm","12/04/01 14:14:33","jhm","12/19/03 14:45:26"
"JO/1094",1094,"JO","David","Brown",,"Mr","minister",,"Neilston",0,"Minister in 1696. Involved in cases in 1696-7 and 1700.","jhm","12/04/01 14:15:52","jhm","11/18/03 11:22:45"
"JO/1095",1095,"JO","Alexander","Stewart","5th Lord Blantyre","Lord Blantyre",,,"Blantyre",0,"Commissioner on supply for Renfrew. Involved in cases in 1697, 1699 and 1700.","jhm","12/04/01 14:19:14","jhm","12/15/03 12:30:50"
"JO/1096",1096,"JO","Robert","Taylor",,"Mr","minister",,"Houston",0,"Minister at Houston from 1695 to 1701 when he transferred to Currie. Involved in case in 1697.","jhm","12/04/01 14:42:59","jhm","12/17/03 11:12:28"
"JO/1097",1097,"JO","John","Maxwell",,"Sir of Nether Pollok",,,"Renfrew",0,"Commissioner in 1696 (?), definitely commissioner for Christian Shaw cases in 1697. Also involved in cases in 1700.","jhm","12/04/01 14:43:37","jhm","12/02/03 10:19:04"
"JO/1098",1098,"JO","Christian","Shaw",,,,,"Bargarran",0,"Accused several people in 1697 of having bewitched her.","jhm","12/04/01 14:53:28","jhm","12/12/03 16:21:13"
"JO/1099",1099,"JO","James","Stirling",,"Mr","minister",,"Barony",0,"Moved to Barony, Glasgow in 1699 from Kilbarchan. Minister at Barony until 1736. Dean of faculty of Glasgow. Involved in case in 1700.","jhm","12/04/01 15:38:07","jhm","01/22/04 14:08:39"
"JO/110",110,"JO","John","Eastone",,,,,"Haddington",0,"Involved in cases in 1649.","jhm","06/13/01 12:21:38","jhm","11/20/03 16:27:17"
