PropertyDamageRef,PropertyDamageSystemId,PropertyDamageID,CaseRef,PropertyDamage_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"PD/JO/1","JO",1,"C/EGD/2120","Whole Estate","jhm","05/16/01 16:49:03","jhm","05/16/01 16:49:05"
"PD/JO/137","JO",137,"C/JO/2928","Animals","jhm","11/27/01 12:39:18","jhm","11/27/01 12:39:20"
"PD/JO/138","JO",138,"C/EGD/1820","Animals","jhm","11/27/01 13:29:36","jhm","11/27/01 13:29:39"
"PD/JO/140","JO",140,"C/EGD/2260","Boats","jhm","01/23/02 11:30:12","jhm","01/23/02 11:30:14"
"PD/JO/141","JO",141,"C/EGD/2260","Meal","jhm","01/23/02 11:35:10","jhm","01/23/02 11:35:14"
"PD/JO/142","JO",142,"C/EGD/2259","Boats","jhm","01/23/02 11:38:30","jhm","01/23/02 11:38:32"
"PD/JO/143","JO",143,"C/EGD/2011","Meal","jhm","02/05/02 15:21:33","jhm","02/05/02 15:21:57"
"PD/JO/144","JO",144,"C/EGD/2011","Dairy","jhm","02/05/02 15:21:36","jhm","02/05/02 15:21:38"
"PD/JO/145","JO",145,"C/EGD/2387","Ale","jhm","02/07/02 10:20:01","jhm","02/07/02 10:20:02"
"PD/JO/146","JO",146,"C/EGD/2387","Dairy","jhm","02/07/02 10:20:05","jhm","02/07/02 10:20:14"
"PD/JO/147","JO",147,"C/JO/2959","Boats","jhm","02/07/02 14:56:19","jhm","02/07/02 14:56:21"
"PD/JO/148","JO",148,"C/JO/2959","Dairy","jhm","02/07/02 14:56:34","jhm","02/07/02 14:56:35"
"PD/JO/149","JO",149,"C/JO/2959","Mill","jhm","02/07/02 14:57:27","jhm","02/07/02 14:57:31"
"PD/JO/15","JO",15,"C/EGD/2121","Whole Estate","jhm","06/05/01 15:10:34","jhm","06/05/01 15:10:50"
"PD/JO/150","JO",150,"C/EGD/1848","Animals","jhm","02/07/02 15:57:00","jhm","02/07/02 15:57:01"
"PD/JO/151","JO",151,"C/EGD/1848","Dairy","jhm","02/07/02 15:57:04","jhm","02/07/02 15:57:35"
"PD/JO/152","JO",152,"C/EGD/1284","Dairy","jhm","02/08/02 11:11:39","jhm","02/08/02 11:11:44"
"PD/JO/153","JO",153,"C/EGD/1025","Ale","jhm","02/18/02 16:06:43","jhm","02/18/02 16:06:48"
"PD/JO/155","JO",155,"C/EGD/745","Fishing","jhm","03/07/02 15:39:50","jhm","03/07/02 15:42:37"
"PD/JO/156","JO",156,"C/JO/3012","Crops","jhm","04/17/02 11:44:52","jhm","04/17/02 11:44:53"
"PD/JO/157","JO",157,"C/JO/3025","Animals","jhm","05/01/02 16:47:43","jhm","05/01/02 16:47:45"
"PD/JO/158","JO",158,"C/JO/3025","Plough","jhm","05/01/02 16:48:49","jhm","05/01/02 16:48:55"
"PD/JO/159","JO",159,"C/EGD/2119","Dairy","jhm","05/02/02 12:32:28","jhm","05/02/02 12:32:35"
"PD/JO/160","JO",160,"C/EGD/2119","Mill","jhm","05/02/02 12:33:01","jhm","05/02/02 12:33:17"
"PD/JO/161","JO",161,"C/EGD/2119","Whole Estate","jhm","05/02/02 12:37:03","jhm","05/02/02 12:37:13"
"PD/JO/162","JO",162,"C/EGD/2119","Crops","jhm","05/02/02 12:42:45","jhm","05/02/02 12:42:47"
"PD/JO/163","JO",163,"C/EGD/2150","Dairy","jhm","05/08/02 14:54:16","jhm","05/08/02 14:54:19"
"PD/JO/164","JO",164,"C/EGD/2172","Dairy","jhm","05/08/02 16:52:10","jhm","05/08/02 16:52:21"
"PD/JO/165","JO",165,"C/EGD/2172","Crops","jhm","05/08/02 16:52:23","jhm","05/08/02 16:52:29"
"PD/JO/166","JO",166,"C/EGD/2159","Dairy","jhm","05/09/02 13:00:41","jhm","05/09/02 13:00:42"
"PD/JO/167","JO",167,"C/EGD/2159","Whole Estate","jhm","05/09/02 13:01:59","jhm","05/09/02 13:02:23"
"PD/JO/168","JO",168,"C/EGD/2160","Dairy","jhm","05/09/02 16:48:04","jhm","05/09/02 16:48:06"
"PD/JO/169","JO",169,"C/EGD/2168","Plough","jhm","05/09/02 17:21:20","jhm","05/09/02 17:21:21"
"PD/JO/170","JO",170,"C/EGD/2168","Animals","jhm","05/09/02 17:21:56","jhm","05/09/02 17:23:18"
"PD/JO/171","JO",171,"C/EGD/2168","Whole Estate","jhm","05/13/02 10:22:31","jhm","05/13/02 10:22:33"
"PD/JO/172","JO",172,"C/JO/3035","Whole Estate","jhm","06/03/02 11:50:59","jhm","06/03/02 11:51:01"
"PD/JO/173","JO",173,"C/EGD/2154","Animals","jhm","06/03/02 17:24:18","jhm","06/03/02 17:24:19"
"PD/JO/174","JO",174,"C/EGD/2123","Whole Estate","jhm","06/10/02 20:45:51","jhm","06/10/02 20:45:52"
"PD/JO/175","JO",175,"C/EGD/2123","Mill","jhm","06/10/02 20:46:12","jhm","06/10/02 20:46:14"
"PD/JO/176","JO",176,"C/EGD/2312","Crops","jhm","06/19/02 13:54:34","jhm","06/19/02 13:54:35"
"PD/JO/177","JO",177,"C/EGD/2286","Dairy","jhm","06/19/02 14:35:21","jhm","06/19/02 14:35:21"
"PD/JO/178","JO",178,"C/EGD/2306","Dairy","jhm","06/19/02 14:44:47","jhm","06/19/02 14:44:50"
"PD/JO/179","JO",179,"C/EGD/2306","Crops","jhm","06/19/02 14:48:43","jhm","06/19/02 14:48:45"
"PD/JO/180","JO",180,"C/EGD/2285","Whole Estate","jhm","06/19/02 14:53:51","jhm","06/19/02 14:53:55"
"PD/JO/181","JO",181,"C/EGD/2327","Crops","jhm","06/19/02 15:46:16","jhm","06/19/02 15:46:17"
"PD/JO/182","JO",182,"C/EGD/2327","Dairy","jhm","06/19/02 15:48:57","jhm","06/19/02 15:48:57"
"PD/JO/183","JO",183,"C/EGD/2327","Boats","jhm","06/19/02 15:59:38","jhm","06/19/02 15:59:40"
"PD/JO/191","JO",191,"C/JO/3058","Animals","jhm","06/26/02 12:19:15","jhm","06/26/02 12:19:19"
"PD/JO/192","JO",192,"C/JO/3061","Dairy","jhm","06/28/02 09:59:10","jhm","06/28/02 09:59:11"
"PD/JO/193","JO",193,"C/JO/3086","Animals","jhm","07/03/02 15:47:21","jhm","07/03/02 15:47:22"
"PD/JO/194","JO",194,"C/JO/3086","Crops","jhm","07/03/02 15:47:22","jhm","07/03/02 15:47:28"
"PD/JO/195","JO",195,"C/JO/3086","Whole Estate","jhm","07/03/02 15:47:30","jhm","07/03/02 15:47:36"
"PD/JO/196","JO",196,"C/EGD/297","Animals","jhm","07/04/02 11:01:02","jhm","07/04/02 11:01:06"
"PD/JO/197","JO",197,"C/EGD/2148","Mill","jhm","07/09/02 09:15:17","jhm","07/09/02 09:15:21"
"PD/JO/198","JO",198,"C/EGD/2149","Mill","jhm","07/09/02 09:38:45","jhm","07/09/02 09:38:48"
"PD/JO/199","JO",199,"C/EGD/2158","Animals","jhm","07/09/02 11:35:44","jhm","07/09/02 11:35:46"
"PD/JO/2","JO",2,"C/EGD/2120","Ale","jhm","05/16/01 16:57:28","jhm","05/16/01 16:59:17"
"PD/JO/200","JO",200,"C/EGD/2158","Whole Estate","jhm","07/09/02 11:35:46","jhm","07/09/02 11:35:53"
"PD/JO/201","JO",201,"C/EGD/2158","Mill","jhm","07/09/02 11:35:53","jhm","07/09/02 11:35:56"
"PD/JO/202","JO",202,"C/EGD/2374","Animals","jhm","07/11/02 15:11:17","jhm","07/11/02 15:11:18"
"PD/JO/203","JO",203,"C/EGD/2374","Dairy","jhm","07/11/02 15:11:20","jhm","07/11/02 15:11:23"
"PD/JO/204","JO",204,"C/JO/3107","Dairy","jhm","07/18/02 09:01:01","jhm","07/18/02 09:01:02"
"PD/JO/205","JO",205,"C/JO/3107","Crops","jhm","07/18/02 09:01:37","jhm","07/18/02 09:01:38"
