Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P/EGD/3534",3534,"EGD","Nidrie",,,,,,,,,,,,"EGD","03/28/01 13:39:49","EGD","03/28/01 13:40:01"
"P/JO/3538",3538,"JO","Haddington",,,,,"Haddington",,,,,,,"jhm","06/15/01 09:58:58","jhm","06/15/01 09:59:16"
"P/JO/3539",3539,"JO","Haddington",,,,,,,,,,,,"jhm","06/15/01 09:59:27","jhm","06/15/01 09:59:41"
"P/JO/3540",3540,"JO","Dalkeith",,,,,,,,,,,,"jhm","07/03/01 12:43:49","jhm","07/03/01 12:44:24"
"P/JO/3541",3541,"JO","Kinneil",,,,,"Linlithgow",,,,,,,"jhm","07/23/01 16:20:45","jhm","07/23/01 16:21:08"
"P/JO/3542",3542,"JO","Queensferry",,,,,,,,,,,,"jhm","07/24/01 12:24:41","jhm","07/24/01 12:24:45"
"P/JO/3543",3543,"JO","Calder",,,,,,,,,,"Calder or Calder Comitis (divided into Mid-Calder and West Calder in 1646) was part of Linlithgow presbytery until 1884.",,"jhm","07/24/01 12:48:10","jhm","07/24/01 15:16:15"
"P/JO/3544",3544,"JO","Abercorn",,,,,,,,,,,,"jhm","07/24/01 14:51:22","jhm","07/24/01 14:51:29"
"P/JO/3545",3545,"JO","East Calder",,,,,,,,,,,"or Calder Cler, divided from Mid and West Calder in 1641.","jhm","07/24/01 15:19:20","jhm","07/24/01 15:20:11"
"P/JO/3546",3546,"JO","Coulter",,,,,,,,,,,,"jhm","07/30/01 09:47:00","jhm","07/30/01 09:47:06"
"P/JO/3547",3547,"JO","Irongray",,,,,"Dumfries",,,,,,,"jhm","10/03/01 10:09:25","jhm","10/03/01 10:09:40"
"P/JO/3548",3548,"JO","Conveth",,,,,,,,,,,"Same as Inverkeithny","jhm","10/11/01 09:48:10","jhm","10/11/01 09:48:21"
"P/JO/3549",3549,"JO","Aberdalgie & Dupplin",,,,,"Perth",,,,,"Abergaldie and Dupplin united in 1618",,"jhm","02/19/02 12:18:12","jhm","02/19/02 12:18:39"
"P/JO/3550",3550,"JO","Contin & Strathgarve",,,,,"Ross",,,,,,,"jhm","04/02/02 11:12:17","jhm","04/02/02 11:12:29"
"P/JO/3551",3551,"JO","Glenluce",,,,,,,,,,,"was known as Old Luce","jhm","04/25/02 09:26:21","jhm","04/25/02 09:26:37"
"P/JO/3552",3552,"JO","Stranraer",,,,,,,,,,,"In Stranraer presbytery","jhm","04/25/02 09:35:59","jhm","04/25/02 09:36:12"
"P/JO/3553",3553,"JO","Fortrose",,,,,,,,,,,,"jhm","09/05/02 13:33:47","jhm","09/05/02 13:33:56"
"P/JO/3554",3554,"JO","Ecclesgreig",,,,,,,,,,,,"jhm","10/03/02 10:52:45","jhm","10/03/02 10:52:53"
"P/LA/3535",3535,"LA",,,,,,,,,,,,,"LEM","05/17/01 11:52:11","jhm","10/11/01 09:49:48"
"P/LA/3536",3536,"LA","Edinburgh Grey Friars",,,,,"Edinburgh","Edinburgh",,,,,,"LEM","05/22/01 15:30:32","LEM","05/22/01 15:30:48"
"P/LA/3537",3537,"LA",,,,,,,,,,,,,"LEM","06/07/01 16:03:43","jhm","09/25/01 12:08:50"
"P/ST/1000",1000,"ST","Kilchousland","KDX",1000,"Morvern","Kintyre",,,"NR",751,220,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1001",1001,"ST","Kildrummy","KDY",1001,"Garioch","Marr",,,"NT",450,160,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1003",1003,"ST","King Edward","KED",1003,"Garioch","Boyne",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1004",1004,"ST","Keith","KEH",1004,"Strathspey","Strathbogie",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1005",1005,"ST","Keig","KEI",1005,"Garioch","Marr",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1006",1006,"ST","Kells","KEL",1006,"Rhinns","Glenken",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1007",1007,"ST","Kemnay","KEM",1007,"Garioch","Garioch",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1008",1008,"ST","Kennethmont","KEN",1008,"Garioch","Garioch",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1009",1009,"ST","Kelso","KEO",1009,"Teviotdale","Teviotdale",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1010",1010,"ST","Keir","KER",1010,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1011",1011,"ST","Kettins","KET",1011,"Merse","Angus",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1012",1012,"ST","Kilfinan","KFN",1012,"Morvern","Glassary",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1013",1013,"ST","Kirkforthar","KFX",1013,"Merse","Fothriff",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1015",1015,"ST","Kinglassie","KGL",1015,"Merse","Fothriff",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1017",1017,"ST","Kirkgunzeon","KGZ",1017,"Teviotdale",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1018",1018,"ST","Kirkhope","KHP",1018,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1019",1019,"ST","Kirkpatrick Irongray","KIG",1019,"Teviotdale",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/102",102,"ST","Dalgety","DGY",102,"South of Forth","Fife & Strathearn",,,"NT",169,838,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1020",1020,"ST","Kirkhill","KIH",1020,"Strathspey","Inverness",,,"NH",549,457,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1021",1021,"ST","Killin","KIL",1021,"South of Forth","Atholl & Drumalbane",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1022",1022,"ST","Kingussie& Insh","KIN",1022,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1023",1023,"ST","Kirkden","KIR",1023,"Merse","Angus",,,"NO",530,470,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1024",1024,"ST","Kintail","KIT",1024,"Ross",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1025",1025,"ST","Kilblane","KIX",1025,"Morvern","Kintyre",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1026",1026,"ST","Kilmore& Kilbride","KKB",1026,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1027",1027,"ST","Killean & Kilchenzie","KKC",1027,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1028",1028,"ST","Kilninian & Kilmore","KKE",1028,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1029",1029,"ST","Kirkmabreck","KKK",1029,"Rhinns","Desnes",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1030",1030,"ST","Keithhall & Kinkell","KKL",1030,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1031",1031,"ST","Killarrow & Kilmeny","KKM",1031,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1032",1032,"ST","Kirkinner","KKR",1032,"Rhinns","Farines",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1033",1033,"ST","Kilninver & Kilmelfort","KKT",1033,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1034",1034,"ST","Kilfinichen & Kilvickeon","KKV",1034,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1035",1035,"ST","Kinkell","KKX",1035,"Garioch","Garioch",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1036",1036,"ST","Kinloch","KLC",1036,"South of Forth","Angus",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1037",1037,"ST","Kilmallie","KLE",1037,,"Morvern",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1039",1039,"ST","Kilmany","KLM",1039,"Merse","Fife",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1040",1040,"ST","Killearn","KLN",1040,"Teviotdale","Lennox",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1041",1041,"ST","Kilmorack","KLO",1041,"Ross",,,,"NH",491,444,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1042",1042,"ST","Kilmuir (Skye)","KLR",1042,"Isles",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1043",1043,"ST","Kinnettles","KLS",1043,"Merse","Angus",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1044",1044,"ST","Kilbrandon","KLX",1044,"Morvern","Lorn",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1045",1045,"ST","Kilmadock","KMA",1045,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1046",1046,"ST","Kemback","KMB",1046,"Merse","Fife",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1047",1047,"ST","Kirkmichael","KMC",1047,"Teviotdale","Nithsdale",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1048",1048,"ST","Kilmodan","KMD",1048,"Morvern","Glassary",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1049",1049,"ST","Kilmuir Easter","KME",1049,"Ross",,,,"NH",757,732,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1050",1050,"ST","Kilmichael Glassary","KMG",1050,"Morvern","Glassary",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1051",1051,"ST","Kirkmahoe","KMH",1051,"Teviotdale","Nithsdale",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1052",1052,"ST","Kilmarnock","KMK",1052,"Teviotdale",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1053",1053,"ST","Kirkmichael","KML",1053,"Teviotdale","Carrick",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1054",1054,"ST","Kilmacolm","KMM",1054,"Teviotdale","Rutherglen",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1055",1055,"ST","Kirkmaiden","KMN",1055,"Rhinns","Rhinns",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1056",1056,"ST","Kilmaronock","KMO",1056,"Teviotdale","Lennox",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1057",1057,"ST","Kilmartin","KMR",1057,"Morvern",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
