ReferenceRef,RefSystemID,ReferenceID,CaseRef,SourceRef,Reference,KirkSession,Presbytery,BurghCourt,Confession,DraftDittay,Comm_CourtMin,Just_CourtMin,Circuit_CourtMin,Dittay,Pleadings,WitDep,WitStatement,CommJust,PrivyCouncil,Parliament,Estates,Royal,CommText,Verdict,Sentence,Chronicle,Financial,Other,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"R/EGD/10","EGD",10,"C/EGD/10","APS","Vol VI, part 2, p 516.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"execution of suspects",,"SMD","05/15/01 17:33:52","jhm","07/30/02 15:30:20"
"R/EGD/100","EGD",100,"C/EGD/100","Pitcairn","v I, part II, page 239-241",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"same text as JC2/2","SMD","05/15/01 17:33:52","jhm","10/07/02 12:13:36"
"R/EGD/1000","EGD",1000,"C/EGD/1000","RPC","2nd S, v1 p. 600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 15:25:27"
"R/EGD/1001","EGD",1001,"C/EGD/1001","RPC","2nd S, v1 p. 586",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 14:53:51"
"R/EGD/1002","EGD",1002,"C/EGD/1002","RPC","2nd S, v1 p. 596",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 15:34:33"
"R/EGD/1003","EGD",1003,"C/EGD/1003","RPC","2nd S, v1 p. 607",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 15:35:06"
"R/EGD/1005","EGD",1005,"C/EGD/1005","RPC","2nd S, v2 p. 122, 135, 142-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Privy Council commission, caution and suspention of commission.","SMD","05/15/01 17:33:52","jhm","10/01/02 10:22:38"
"R/EGD/1006","EGD",1006,"C/EGD/1006","RPC","2nd S, v2 p. 317",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 15:57:16"
"R/EGD/1007","EGD",1007,"C/EGD/1007","RPC","2nd S, v2 p. 328-29",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 16:06:51"
"R/EGD/1008","EGD",1008,"C/EGD/1008","RPC","2nd S, v2 p. 328-9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 16:06:42"
"R/EGD/1009","EGD",1009,"C/EGD/1009","RPC","2nd S, v2 p. 328-9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 16:10:20"
"R/EGD/101","EGD",101,"C/EGD/101","Pitcairn","v I, part II, page 230-241",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"same text as JC2/2

JC26/2","SMD","05/15/01 17:33:52","jhm","10/01/02 11:10:03"
"R/EGD/1010","EGD",1010,"C/EGD/1010","RPC","2nd S, v2 p. 328-9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 16:10:49"
"R/EGD/1011","EGD",1011,"C/EGD/1011","RPC","2nd S, v2 p. 328-9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 16:14:09"
"R/EGD/1012","EGD",1012,"C/EGD/1012","RPC","2nd S, v2 p. 328-9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/18/01 16:14:35"
"R/EGD/1013","EGD",1013,"C/EGD/1013","RPC","2nd S, v2 p. 353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 09:21:44"
"R/EGD/1014","EGD",1014,"C/EGD/1014","RPC","2nd S, v2 p. 353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 09:30:01"
"R/EGD/1015","EGD",1015,"C/EGD/1015","RPC","2nd S, v2 p. 353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 09:30:12"
"R/EGD/1016","EGD",1016,"C/EGD/1016","RPC","2nd S, v2 p. 353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 09:29:23"
"R/EGD/1017","EGD",1017,"C/EGD/1017","RPC","2nd S, v2 p. 353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 09:29:40"
"R/EGD/1018","EGD",1018,"C/EGD/1018","RPC","2nd S, v2 p. 362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 09:31:13"
"R/EGD/1019","EGD",1019,"C/EGD/1019","RPC","2nd S, v2 p. 379",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 10:03:44"
"R/EGD/102","EGD",102,"C/EGD/102","Pitcairn","v I, part II, page 239-241",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"same text as JC2/2

JC26/2","SMD","05/15/01 17:33:52","jhm","10/01/02 11:10:46"
"R/EGD/1020","EGD",1020,"C/EGD/1020","RPC","2nd S, v2 p. 379",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 10:06:37"
"R/EGD/1021","EGD",1021,"C/EGD/1021","RPC","2nd S, v2 p. 379",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 10:10:03"
"R/EGD/1022","EGD",1022,"C/EGD/1022","RPC","2nd S, v2 p. 379",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 10:12:29"
"R/EGD/1023","EGD",1023,"C/EGD/1023","RPC","2nd S, v2 p. 379",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 10:12:55"
