RitualObjectRef,RitualObjectSystemId,RitualObjectID,CaseRef,RitualObject_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"RO/JO/1","JO",1,"C/JO/2632","Yarn","jhm","05/17/01 12:03:06","jhm","11/13/02 15:51:53"
"RO/JO/2","JO",2,"C/JO/2632","Egg","jhm","05/17/01 12:03:28","jhm","11/13/02 15:50:17"
"RO/JO/3","JO",3,"C/JO/2632","Meal","jhm","05/17/01 12:03:35","jhm","11/13/02 15:50:19"
"RO/JO/316","JO",316,"C/EGD/2453","Water","jhm","10/24/01 09:24:42","jhm","10/24/01 09:24:43"
"RO/JO/317","JO",317,"C/EGD/142","Elfshot","jhm","11/06/01 11:52:29","jhm","02/28/02 14:52:17"
"RO/JO/318","JO",318,"C/EGD/45","Elfshot","jhm","11/06/01 11:52:54","LEM","06/14/02 16:54:58"
"RO/JO/319","JO",319,"C/EGD/39","Elfshot","jhm","11/06/01 11:53:18","jhm","11/06/02 11:43:35"
"RO/JO/320","JO",320,"C/EGD/46","Elfshot","jhm","11/06/01 11:54:20","LEM","10/11/02 10:05:25"
"RO/JO/323","JO",323,"C/EGD/63","Elfshot","jhm","11/06/01 11:55:23","LEM","11/07/02 11:25:20"
"RO/JO/326","JO",326,"C/EGD/385","Knife","jhm","11/21/01 09:48:32","jhm","11/21/01 09:48:40"
"RO/JO/327","JO",327,"C/EGD/2231","Wayburn leaf","jhm","11/23/01 11:12:50","jhm","11/23/01 11:14:43"
"RO/JO/328","JO",328,"C/EGD/2471","Axe","jhm","11/23/01 14:12:43","jhm","11/13/02 12:26:12"
"RO/JO/329","JO",329,"C/EGD/1309","Tree","jhm","11/23/01 15:39:25","jhm","11/23/01 15:43:12"
"RO/JO/331","JO",331,"C/EGD/29","Thread","jhm","11/26/01 15:07:12","jhm","11/13/02 12:39:14"
"RO/JO/338","JO",338,"C/EGD/1906","Bead","jhm","12/04/01 16:15:38","jhm","12/04/01 16:15:40"
"RO/JO/339","JO",339,"C/EGD/2269","Cloth","jhm","01/17/02 15:02:52","jhm","01/17/02 15:02:56"
"RO/JO/340","JO",340,"C/EGD/2260","Urine","jhm","01/23/02 11:33:22","jhm","01/23/02 11:33:23"
"RO/JO/342","JO",342,"C/EGD/2011","Fire","jhm","02/05/02 15:24:34","jhm","02/05/02 15:24:38"
"RO/JO/343","JO",343,"C/EGD/2011","Salt","jhm","02/05/02 15:24:38","jhm","02/05/02 15:24:43"
"RO/JO/348","JO",348,"C/EGD/2387","Fire","jhm","02/07/02 10:23:09","jhm","02/07/02 10:23:16"
"RO/JO/349","JO",349,"C/EGD/1856","Water","jhm","02/07/02 11:15:01","jhm","02/07/02 11:15:06"
"RO/JO/350","JO",350,"C/EGD/1855","Water","jhm","02/07/02 14:19:35","jhm","02/07/02 14:19:40"
"RO/JO/351","JO",351,"C/EGD/1848","Salt","jhm","02/14/02 09:20:32","jhm","02/14/02 09:20:33"
"RO/JO/353","JO",353,"C/EGD/1855","Foxtree Leaves","jhm","02/14/02 10:48:41","jhm","02/14/02 10:48:45"
"RO/JO/4","JO",4,"C/JO/2632","Shirt","jhm","05/17/01 12:03:43","jhm","11/13/02 15:50:54"
"RO/JO/417","JO",417,"C/EGD/1025","Salve","jhm","02/18/02 16:08:32","jhm","02/18/02 16:08:36"
"RO/JO/418","JO",418,"C/EGD/1025","Drink","jhm","02/18/02 16:08:51","jhm","02/18/02 16:08:54"
"RO/JO/419","JO",419,"C/EGD/1025","Herb","jhm","02/18/02 16:11:53","jhm","02/18/02 16:11:53"
"RO/JO/426","JO",426,"C/EGD/745","Milk","jhm","03/07/02 15:35:20","jhm","03/07/02 15:35:21"
"RO/JO/427","JO",427,"C/EGD/745","Money","jhm","03/07/02 15:35:23","jhm","03/07/02 15:35:24"
"RO/JO/428","JO",428,"C/EGD/745","Nail trimmings","jhm","03/07/02 15:35:26","jhm","03/07/02 15:35:27"
"RO/JO/429","JO",429,"C/EGD/745","Tree","jhm","03/07/02 15:35:28","jhm","03/07/02 15:35:29"
"RO/JO/431","JO",431,"C/EGD/745","Cloth","jhm","03/07/02 15:37:50","jhm","03/07/02 15:37:51"
"RO/JO/432","JO",432,"C/EGD/2153","Cloth","jhm","03/07/02 16:08:45","jhm","03/07/02 16:08:45"
"RO/JO/433","JO",433,"C/EGD/2153","Hair","jhm","03/07/02 16:08:53","jhm","11/13/02 13:41:21"
"RO/JO/434","JO",434,"C/EGD/2153","Nail trimmings","jhm","03/07/02 16:08:58","jhm","03/07/02 16:09:00"
"RO/JO/435","JO",435,"C/EGD/2153","Herb","jhm","03/07/02 16:17:39","jhm","03/07/02 16:17:40"
"RO/JO/436","JO",436,"C/EGD/2153","Paper","jhm","03/07/02 16:20:00","jhm","03/07/02 16:20:05"
"RO/JO/437","JO",437,"C/EGD/2362","Water","jhm","03/27/02 10:24:36","jhm","03/27/02 10:24:37"
"RO/JO/438","JO",438,"C/EGD/2362","Salt","jhm","03/27/02 10:24:37","jhm","03/27/02 10:24:38"
"RO/JO/439","JO",439,"C/EGD/2362","Cloth","jhm","03/27/02 10:27:28","jhm","03/27/02 10:27:38"
"RO/JO/440","JO",440,"C/EGD/785","Plant","jhm","04/17/02 10:15:26","jhm","04/17/02 10:15:28"
"RO/JO/441","JO",441,"C/EGD/785","Salve","jhm","04/17/02 10:15:30","jhm","04/17/02 10:15:36"
"RO/JO/442","JO",442,"C/EGD/785","Water","jhm","04/17/02 10:15:37","jhm","04/17/02 10:15:38"
"RO/JO/443","JO",443,"C/JO/3012","Bannock","jhm","04/17/02 11:42:46","jhm","04/17/02 11:42:47"
"RO/JO/444","JO",444,"C/JO/3012","Tobacco","jhm","04/17/02 11:42:48","jhm","04/17/02 11:42:52"
"RO/JO/445","JO",445,"C/EGD/2119","Cloth","jhm","05/02/02 12:37:55","jhm","05/02/02 12:37:56"
"RO/JO/446","JO",446,"C/EGD/2119","Thread","jhm","05/02/02 12:59:42","jhm","11/13/02 12:39:43"
"RO/JO/447","JO",447,"C/EGD/2119","Herb","jhm","05/02/02 12:59:45","jhm","05/02/02 12:59:49"
"RO/JO/448","JO",448,"C/EGD/2119","Fire","jhm","05/02/02 13:01:13","jhm","05/02/02 13:01:14"
"RO/JO/449","JO",449,"C/EGD/2119","Water","jhm","05/02/02 13:02:48","jhm","05/02/02 13:02:53"
"RO/JO/45","JO",45,"C/EGD/884","Salt","jhm","07/23/01 10:41:27","jhm","07/23/01 10:41:29"
"RO/JO/450","JO",450,"C/EGD/2150","Cloth","jhm","05/08/02 14:50:34","jhm","05/08/02 14:50:35"
"RO/JO/451","JO",451,"C/EGD/2150","Fire","jhm","05/08/02 14:50:55","jhm","05/08/02 14:50:57"
"RO/JO/452","JO",452,"C/EGD/2150","Crook","jhm","05/08/02 14:51:21","jhm","05/08/02 14:51:24"
"RO/JO/453","JO",453,"C/EGD/2150","Herb","jhm","05/08/02 14:51:35","jhm","05/08/02 14:51:36"
"RO/JO/454","JO",454,"C/EGD/2172","Water","jhm","05/09/02 11:28:21","jhm","05/09/02 11:28:22"
"RO/JO/455","JO",455,"C/EGD/2172","Bird (dead)","jhm","05/09/02 11:28:22","jhm","05/09/02 11:28:24"
"RO/JO/456","JO",456,"C/EGD/2172","Yarn","jhm","05/09/02 11:28:57","jhm","05/09/02 11:33:26"
"RO/JO/457","JO",457,"C/EGD/2172","Salt","jhm","05/09/02 11:29:02","jhm","05/09/02 11:29:03"
"RO/JO/458","JO",458,"C/EGD/2172","Blood (animal)","jhm","05/09/02 11:30:32","jhm","05/09/02 11:30:35"
"RO/JO/459","JO",459,"C/EGD/2172","Stones","jhm","05/09/02 11:32:51","jhm","05/09/02 11:32:53"
"RO/JO/46","JO",46,"C/EGD/884","Shirt","jhm","07/23/01 10:41:31","LEM","11/11/02 11:15:29"
"RO/JO/460","JO",460,"C/EGD/2172","Cat","jhm","05/09/02 11:34:29","jhm","05/09/02 11:34:34"
"RO/JO/461","JO",461,"C/EGD/2172","Dog","jhm","05/09/02 11:36:38","jhm","05/09/02 11:36:41"
"RO/JO/462","JO",462,"C/EGD/2172","Plough","jhm","05/09/02 11:46:24","jhm","05/09/02 11:46:29"
"RO/JO/463","JO",463,"C/EGD/2160","Pottage","jhm","05/09/02 16:55:53","LEM","09/19/02 10:01:12"
"RO/JO/464","JO",464,"C/EGD/2160","Stones","jhm","05/09/02 17:01:33","jhm","05/09/02 17:01:34"
"RO/JO/465","JO",465,"C/EGD/2174","Feathers","jhm","05/13/02 12:17:00","jhm","05/13/02 12:17:01"
"RO/JO/466","JO",466,"C/EGD/2174","Fire","jhm","05/13/02 12:18:48","jhm","05/13/02 12:18:49"
"RO/JO/467","JO",467,"C/EGD/2174","Cockerel","jhm","05/13/02 12:18:51","jhm","05/13/02 12:19:02"
"RO/JO/468","JO",468,"C/EGD/2174","Thread","jhm","05/13/02 12:20:13","jhm","11/13/02 12:40:20"
"RO/JO/469","JO",469,"C/EGD/2174","Wax/clay images","jhm","05/13/02 12:22:40","jhm","05/13/02 12:22:42"
"RO/JO/47","JO",47,"C/EGD/884","Water","jhm","07/23/01 10:41:50","jhm","07/23/01 10:41:51"
"RO/JO/470","JO",470,"C/EGD/2173","Shoes","jhm","05/14/02 11:04:27","jhm","05/14/02 11:04:33"
