SourceRef,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"Abbotsford Club Miscellany","LEM","06/17/02 11:12:29","jhm","09/18/02 15:04:26"
"Aberdeen City Archives","jhm","07/25/02 12:53:16","jhm","07/25/02 12:53:16"
"Aberdeen Presbytery records","jhm","03/11/02 16:04:36","jhm","03/11/02 16:04:36"
"Aberdour Kirk session records","jhm","06/28/02 14:12:01","jhm","06/28/02 14:12:01"
"An Old Kirk Chronicle","jhm","09/04/01 14:13:43","jhm","09/04/01 14:13:43"
"APS","jhm","07/17/01 09:19:17","jhm","07/17/01 09:19:17"
"Argyll Justiciary Records","jhm","06/27/01 12:02:22","jhm","06/27/01 12:02:22"
"Ayr Burgh Accounts","LEM","08/14/01 09:38:53","LEM","08/14/01 09:38:53"
"Ayr Council Records (MS in Carnegie Library Ayr)","LEM","08/01/02 16:37:46","LEM","08/01/02 16:37:46"
"Ayr Kirk Session records","jhm","08/21/01 16:11:13","jhm","08/21/01 16:11:13"
"Ayr Presbytery Records","LEM","08/02/02 10:46:12","LEM","08/02/02 10:46:12"
"Biggar Presbytery records","jhm","08/02/01 10:21:02","jhm","08/02/01 10:21:02"
"Book of the Universall Kirk . . T Thompson (ed.)","LEM","08/01/02 17:05:19","LEM","08/01/02 17:05:19"
"Books of Adjournal","LEM","06/15/01 16:23:18","LEM","06/15/01 16:23:18"
"Brechin Presbytery records","jhm","02/05/02 13:13:41","jhm","02/05/02 13:13:41"
"Burgh Court Book of Newton on Ayr (MS, Cargegie L)","LEM","08/05/02 12:27:22","LEM","08/05/02 12:27:22"
"Caithness Presbytery records","jhm","04/17/02 09:12:59","jhm","04/17/02 09:12:59"
"Calendar of State Papers Relating to Scotland","jhm","11/12/02 09:03:53","jhm","11/12/02 09:03:53"
"Canongate Burgh Court Book 1574-77","LEM","07/10/02 09:02:46","LEM","07/10/02 09:02:46"
"Circuit Court Books","LEM","11/26/01 12:13:01","LEM","11/26/01 12:13:01"
"Circuit Court Papers","LEM","02/04/02 10:22:24","LEM","02/04/02 10:22:24"
"Committee of Estates","LEM","08/30/02 13:54:15","LEM","08/30/02 13:54:15"
"Corstorphine Kirk Session records","jhm","07/11/02 10:17:01","jhm","07/11/02 10:17:01"
"County Folklore","jhm","06/19/02 16:07:23","jhm","06/19/02 16:07:23"
"Court of the Bishopric of Orkney","LEM","06/17/02 16:17:49","LEM","06/17/02 16:17:49"
"Cupar Presbytery records","jhm","08/01/02 11:49:33","jhm","08/01/02 11:49:33"
"Dalkeith Kirk Session records","jhm","07/23/02 13:32:20","jhm","07/23/02 13:32:20"
"Dalkeith Presbytery records","jhm","06/29/01 12:41:53","jhm","06/29/01 12:41:53"
"Dingwall Presbytery records","jhm","04/02/02 11:04:39","jhm","04/02/02 11:04:39"
"Domestic Annals of Scotland","LEM","08/02/02 11:43:34","LEM","08/02/02 11:43:34"
"Dumfries Kirk Session records","jhm","05/01/02 16:17:25","jhm","05/01/02 16:17:25"
"Dumfries Presbytery records","jhm","10/03/01 09:22:39","jhm","10/03/01 09:22:39"
"Dunbar Presbytery records","jhm","06/26/01 11:08:47","jhm","06/26/01 11:08:47"
"Dunbarton Presbytery records","jhm","10/18/02 15:21:47","jhm","10/18/02 15:21:47"
"Dunblane Presbytery records","jhm","06/26/02 11:07:33","jhm","06/26/02 11:07:33"
"Dundas Papers","jhm","09/09/02 15:20:23","jhm","09/09/02 15:20:23"
"Dundee Presbytery records","jhm","07/16/02 10:03:07","jhm","07/16/02 10:03:07"
"Dundonald Parish Records","LEM","08/01/02 17:17:40","LEM","08/01/02 17:17:40"
"Dunfermline Kirk Session records","jhm","07/11/02 16:00:48","jhm","07/11/02 16:00:48"
