MeetingPlaceRef,MeetingPlaceSystemId,MeetingPlaceID,CaseRef,MeetingPlace_Place,Inversion,Location,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MP/JO/137","JO",137,"C/EGD/1954","Yard",0,"own house","jhm","07/10/01 09:12:34","jhm","07/10/01 09:14:58"
"MP/JO/138","JO",138,"C/EGD/402",,0,"going to Edinburgh","jhm","07/10/01 09:21:16","jhm","07/10/01 09:22:35"
"MP/JO/139","JO",139,"C/JO/2830",,0,"'moremaddenhole' Leith","jhm","07/10/01 10:05:45","jhm","07/10/01 10:06:36"
"MP/JO/140","JO",140,"C/JO/2830",,0,"the 'Latch' Edinburgh","jhm","07/10/01 10:06:00","jhm","07/10/01 10:06:13"
"MP/JO/141","JO",141,"C/JO/2830","Burn",0,,"jhm","07/10/01 10:06:57","jhm","07/10/01 10:08:10"
"MP/JO/142","JO",142,"C/LA/2786",,0,"Windygoul","jhm","07/10/01 10:33:20","jhm","07/10/01 10:33:34"
"MP/JO/143","JO",143,"C/LA/2786","Hilltop",0,"Parson's Knoll","jhm","07/10/01 10:33:36","jhm","07/10/01 10:33:54"
"MP/JO/146","JO",146,"C/EGD/402","House",0,"her own house","jhm","07/10/01 11:06:07","jhm","07/10/01 11:06:32"
"MP/JO/147","JO",147,"C/EGD/402",,0,"Jock's Lodge","jhm","07/10/01 11:07:20","jhm","07/10/01 11:07:33"
"MP/JO/148","JO",148,"C/LA/2785","House yard",0,"own house","jhm","07/10/01 12:06:03","jhm","07/10/01 12:06:14"
"MP/JO/149","JO",149,"C/LA/2785","House",0,"in bedroom","jhm","07/10/01 12:06:24","jhm","07/10/01 12:06:37"
"MP/JO/150","JO",150,"C/EGD/395","House",0,"own house","jhm","07/10/01 12:44:28","jhm","07/10/01 12:44:38"
"MP/JO/151","JO",151,"C/EGD/397","Loch",0,"lochside, beside meadow","jhm","07/10/01 13:00:51","jhm","07/10/01 13:01:16"
"MP/JO/152","JO",152,"C/EGD/401","Hilltop",0,"Gallolaw","jhm","07/10/01 15:23:38","jhm","07/10/01 15:23:45"
"MP/JO/153","JO",153,"C/EGD/401",,0,"Jock's Lodge","jhm","07/10/01 15:23:46","jhm","07/10/01 15:24:03"
"MP/JO/154","JO",154,"C/EGD/1954","Road",0,"Restalrig Loan","jhm","07/10/01 15:36:41","jhm","07/10/01 15:37:07"
"MP/JO/157","JO",157,"C/EGD/398","House",0,"own house window","jhm","07/10/01 15:52:40","jhm","07/10/01 15:53:02"
"MP/JO/158","JO",158,"C/EGD/401","Burn",0,"North Meadow burn","jhm","07/10/01 16:05:11","jhm","07/10/01 16:05:28"
"MP/JO/159","JO",159,"C/EGD/396","Yard",0,"Andrew Simmon's whinns","jhm","07/11/01 09:52:39","jhm","07/11/01 09:53:48"
"MP/JO/160","JO",160,"C/EGD/400","Mill",0,"'Breastmilne'","jhm","07/11/01 13:06:02","jhm","07/11/01 13:07:37"
"MP/JO/165","JO",165,"C/EGD/400",,0,"Brownesmith?","jhm","07/16/01 10:42:38","jhm","07/16/01 10:45:40"
"MP/JO/170","JO",170,"C/JO/2846","Coalpit",0,"Southhundall?","jhm","07/24/01 10:43:03","jhm","07/24/01 10:44:55"
"MP/JO/173","JO",173,"C/EGD/1298","Burn",0,"Swynisburne","jhm","07/26/01 16:09:19","jhm","07/26/01 16:09:27"
"MP/JO/174","JO",174,"C/EGD/1817","House",0,"mother's house","jhm","07/31/01 13:32:36","jhm","10/22/02 12:54:45"
"MP/JO/175","JO",175,"C/EGD/2005","Hilltop",0,"Gallowberry Hill","jhm","07/31/01 14:58:50","jhm","07/31/01 15:28:36"
"MP/JO/176","JO",176,"C/EGD/1859","Hilltop",0,"Gallowberry Hill","jhm","07/31/01 15:27:41","jhm","07/31/01 15:28:11"
"MP/JO/177","JO",177,"C/EGD/1860",,0,"Kirkurd","jhm","07/31/01 15:46:59","jhm","07/31/01 15:47:08"
"MP/JO/178","JO",178,"C/JO/2882","House",0,"own house","jhm","09/07/01 12:20:30","jhm","09/07/01 12:20:46"
"MP/JO/179","JO",179,"C/JO/2882","Bridge",0,"Lintoun Bridge","jhm","09/07/01 13:26:14","jhm","09/07/01 13:26:59"
"MP/JO/294","JO",294,"C/EGD/1367","Haugh",0,"Samuelston","jhm","10/19/01 10:34:59","jhm","10/19/01 10:37:08"
"MP/JO/295","JO",295,"C/EGD/1367","House",0,"Own house","jhm","10/19/01 10:36:50","jhm","10/19/01 10:36:56"
"MP/JO/296","JO",296,"C/EGD/1368","Burn",0,"black burn beside Calfward","jhm","10/19/01 10:56:11","jhm","10/19/01 10:56:39"
"MP/JO/297","JO",297,"C/EGD/1368","Moor",0,"Begbiemure","jhm","10/19/01 10:56:45","jhm","10/19/01 10:57:31"
